SITECODEID,SITECODE,CREATED_AT,UPDATED_AT,PARENTID,SITEDESCR
-9999,no data,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:53.093 +0200,-9999,
1,Stone artefact deposit,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:53.503 +0200,15,
2,Burial (animal),2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:53.811 +0200,15,
3,Burial (human),2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:54.113 +0200,15,
4,Cemetery,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:54.415 +0200,15,
5,Earth mound,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:54.715 +0200,15,
6,Hearth (isolated),2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:55.016 +0200,15,
7,Shell midden,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:55.317 +0200,15,
8,Open site,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:55.618 +0200,15,
9,Quarry,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:55.919 +0200,15,
10,Rock art,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:56.221 +0200,15,
11,Rockshelter or cave,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:56.523 +0200,15,
12,Culturally modified tree,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:56.826 +0200,15,
13,Stone structure,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:57.129 +0200,15,
14,Anthropogenic,2023-04-19 16:17:38.794 +0200,2023-04-19 16:31:57.430 +0200,14,
15,Archaeological,2023-04-19 16:17:49.840 +0200,2023-04-19 16:31:57.733 +0200,14,
16,Modern (anthropogenic),2023-04-19 16:18:02.135 +0200,2023-04-19 16:31:58.034 +0200,14,
17,"Anthrosol, Technosol",2023-04-19 16:18:15.840 +0200,2023-04-19 16:31:58.336 +0200,14,
18,"Tailings, Dump",2023-04-19 16:18:29.353 +0200,2023-04-19 16:31:58.639 +0200,14,
19,Other,2021-11-19 12:11:05.011 +0100,2023-04-19 16:31:58.941 +0200,15,
20,Occupation debris (indet.),2023-04-19 16:39:10.723 +0200,,14,
21,Natural,2023-04-19 16:39:10.723 +0200,,21,
22,Terrestrial (indet.),2023-04-19 16:39:10.723 +0200,,21,
23,Soil (indet.),2023-04-19 16:39:10.723 +0200,,22,
24,Aeolian origin,2023-04-19 16:39:10.723 +0200,,21,
25,Fluvial origin,2023-04-19 16:39:10.723 +0200,,21,
26,Alluvial ,2023-04-19 16:39:10.723 +0200,,25,
27,Colluvial,2023-04-19 16:39:10.723 +0200,,22,
28,Lacustrine origin,2023-04-19 16:39:10.723 +0200,,21,
29,Coastal origin,2023-04-19 16:39:10.723 +0200,,21,
30,Marine origin,2023-04-19 16:39:10.723 +0200,,21,
31,Glacial origin,2023-04-19 16:39:10.723 +0200,,22,
32,Biogenic origin,2023-04-19 16:39:10.723 +0200,,32,
33,Animal origin,2023-04-19 16:39:10.723 +0200,,32,
34,Palaeosol,2023-04-19 16:39:10.723 +0200,,22,
35,Flat (indet.),2023-04-19 16:39:10.723 +0200,,35,
36,Slope (indet.),2023-04-19 16:39:10.723 +0200,,22,
37,Slope (concave),2023-04-19 16:39:10.723 +0200,,22,
38,Slope (convex),2023-04-19 16:39:10.723 +0200,,22,
39,Small hollow,2023-04-19 16:39:10.723 +0200,,22,
40,Mound,2023-04-19 16:39:10.723 +0200,,22,
41,Cave (indet.),2023-04-19 16:39:10.723 +0200,,22,
42,Talus cone,2023-04-19 16:39:10.723 +0200,,22,
43,Slope wash,2023-04-19 16:39:10.723 +0200,,22,
44,Terrace (indet.),2023-04-19 16:39:10.723 +0200,,22,
45,Terrace (fluvial),2023-04-19 16:39:10.723 +0200,,25,
46,Crevasse splay,2023-04-19 16:39:10.723 +0200,,25,
47,Estuarine,2023-04-19 16:39:10.723 +0200,,29,
48,Salt marsh,2023-04-19 16:39:10.723 +0200,,29,
49,Marsh,2023-04-19 16:39:10.723 +0200,,35,
50,Playa,2023-04-19 16:39:10.723 +0200,,28,
51,Floodplain (indet.),2023-04-19 16:39:10.723 +0200,,25,
52,Delta (indet.),2023-04-19 16:39:10.723 +0200,,25,
53,Channel (indet.),2023-04-19 16:39:10.723 +0200,,25,
54,Overbank deposit,2023-04-19 16:39:10.723 +0200,,25,
55,Levee,2023-04-19 16:39:10.723 +0200,,25,
56,Lake,2023-04-19 16:39:10.723 +0200,,28,
57,Pond,2023-04-19 16:39:10.723 +0200,,28,
58,Bog,2023-04-19 16:39:10.723 +0200,,22,
59,Fen,2023-04-19 16:39:10.723 +0200,,22,
60,Mire,2023-04-19 16:39:10.723 +0200,,22,
61,Peat,2023-04-19 16:39:10.723 +0200,,22,
62,Buried fen,2023-04-19 16:39:10.723 +0200,,22,
63,Sapropel / Gyttja,2023-04-19 16:39:10.723 +0200,,32,
64,Moss polster,2023-04-19 16:39:10.723 +0200,,32,
65,Dune,2023-04-19 16:39:10.723 +0200,,24,
66,Loess,2023-04-19 16:39:10.723 +0200,,24,
67,Mound spring or spring,2023-04-19 16:39:10.723 +0200,,22,
68,Burrow,2023-04-19 16:39:10.723 +0200,,33,
69,Nest,2023-04-19 16:39:10.723 +0200,,33,
70,Clutch,2023-04-19 16:39:10.723 +0200,,33,
71,Midden (animal),2023-04-19 16:39:10.723 +0200,,33,
72,Roost,2023-04-19 16:39:10.723 +0200,,33,
73,Owl roost,2023-04-19 16:39:10.723 +0200,,72,
74,Volcanic lake,2023-09-25 10:23:25.117 +0200,2023-09-25 10:23:25.117 +0200,56,
75,Salt lake,2023-09-25 10:24:10.099 +0200,2023-09-25 10:24:10.099 +0200,56,
76,Salt lake (permanent),2023-09-25 10:24:29.322 +0200,2023-09-25 10:24:29.322 +0200,75,
77,Salt lake (temporary),2023-09-25 10:25:06.560 +0200,2023-09-25 10:25:06.560 +0200,75,
78,Coastal fen,2023-09-25 10:25:51.751 +0200,2023-09-25 10:25:51.751 +0200,29,
79,Swamp,2023-10-10 08:53:04.141 +0200,2023-10-10 08:53:04.141 +0200,22,use if not otherwise specified by the authors
80,Spring,2023-10-12 11:32:47.146 +0200,2023-10-12 11:32:47.146 +0200,22,
81,Tarn,2023-10-12 11:33:41.697 +0200,2023-10-12 11:33:41.697 +0200,56,
