UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
402,PAL00129,Rotten Swamp 1984 core,ROTTEN1984,5,20,84,01.04.84,-9999.99,,unclear how this core relates to NEO_HANDLE 'ROTTEN',2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
403,PAL00129,Rotten Swamp Core 4,ROTTEN4,5,-9999,84,,-9999.99,,unclear how this core relates to NEO_HANDLE 'ROTTEN',2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
404,PAL00405,Round Lake_core1,ROUNDLK,5,19,111,,7.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
405,PAL00406,Ruined Hut Bog RH1,RH1,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
406,PAL00407,Ruined Hut Bog RH2,RH2,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
407,PAL00104,Ruisasi 2 Square A,RUISASI,6,5,29,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
408,PAL00408,Ryans Swamp_core1,RYANSSWP,5,-9999,-9999,,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
409,PAL00409,Salisbury Lodge SL1,SALSL1,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
410,PAL00032,SAN1,SAN1,5,20,111,01.04.16,1.25,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
411,PAL00410,Sapphire Swamp_core1,SAPPHSWP,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
412,PAL00411,Smiths Lagoon_core1,SMITHSLGN,6,5,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
413,PAL00412,Snobs Creek_core1,SNOBSCK,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
414,PAL00413,Snowy Flats_core1,SNOWYFLAT,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
415,PAL00414,Solomons Jewel Lake_core1,SOLOMONJ,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
416,PAL00415,Sondambile_core1,SONDAMB,5,-9999,111,,4.8,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
417,PAL00416,South Salvation Creek Swamp_core1,STHSALV,5,14,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
418,PAL00417,Specimen Cave SP,SPECIMEN,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
419,PAL00418,TAS1205,TAS1205,5,19,111,01.01.12,3.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
420,PAL00419,Staces Tarn_core1,STACES,5,20,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
421,PAL00120,Stockyard Swamp Hunter Island_core1,STOCKYARD,5,20,84,,0.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
422,PAL00075,Stoney Lagoon SL1,SL1,5,20,84,01.04.09,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
423,PAL00420,Storm Creek_core1,STRMCK,5,19,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
424,PAL00421,Strenekoff's Crater_core1,STRENEKO,5,-9999,-9999,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
425,PAL00145,Sundown Swamp_core1,SUNDOWN,5,-9999,84,12.01.78,-9999.99,SUNDOWN,COREDATE source is IPPD,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
426,PAL00422,Supulah Hill North Pond 1991 core,SUPULAH,5,20,84,01.01.91,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
427,PAL00423,Suttons Tarn Core 13A,SUTTONS13A,5,17,111,2012,10.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
428,PAL00134,Swallow Lagoon SLP2 SLP3 SL-2 composite,SWALLOW,5,19,111,01.03.11,5,SWALLOW,Core is a composite of three cores. A large-diameter soft-sediment core was taken of the top 94 cm (core SLP2). A second small-diameter core (core SLP3) was taken of the top 250 cm to ensure penetration into the firm underlying sediment. Both were extruded at 1 cm intervals in the field. Core SL-2 (150–370 cm) was collected using a Livingstone corer and was correlated to SLP-3 using a conspicuous 7 cm thick band of sand that was evident at a depth of 235 cm in each core.,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,"soft sediment corer, Livingstone corer"
429,PAL00424,TS-425,TS425,5,7,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
430,PAL00425,Tadpole Swamp_core1,TADPOLE,5,19,84,,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
431,PAL00076,Talita Kupai core 1,TALITA1,5,14,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
432,PAL00077,Talita Kupai core 2,TALITA2,5,14,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
433,PAL00089,EA204 Core 1,EA204,5,20,84,17.11.15,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
434,PAL00426,Tarahoka Swamp Core 1,TARAHOKA1,5,20,84,01.09.00,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
435,PAL00426,Tarahoka Swamp Core 2,TARAHOKA2,5,20,84,01.12.00,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
436,PAL00427,Tarraleah Bog_core1,TARRALEAH,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
437,PAL00428,Te Werahi Swamp Woolshed Core,TEWERAHI,5,20,84,,3.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
438,PAL00429,Tea Tree Swamp Core DRA,TEATREEDRA,5,-9999,-9999,01.01.85,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
439,PAL00430,Tea Tree Swamp Core DRE,TEATREEDRE,5,-9999,-9999,01.01.85,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
440,PAL00431,Tea Tree Swamp Core DRN-A,TEATREEDRN,5,-9999,-9999,01.11.85,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
441,PAL00105,Telefomin_core1,TELEFOM,5,20,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
442,PAL00432,Terragong Swamp Borehole T1,TERRAG,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
443,PAL00433,Teviot Swamp_core1,TEVIOTSWP,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
444,PAL00434,Three-Quarter Mile Lake_core1,TQMLK,5,-9999,111,01.06.97,3.8,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
445,PAL00146,Tiam Point_core1,TIAMPOINT,5,14,84,,-9999.99,TIAMPOINT,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,50x500 mm^2 D-section corer
446,PAL00435,Tiger Snake Swamp_core1,TIGERSNK,5,20,84,,0.8,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
447,PAL00436,TS-Monolith,TIMMYSWP,14,40,84,13.12.21,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
448,PAL00437,Tiniroto Lakes swamp Core 1 Core 2 composite,TINIROTO,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
449,PAL00438,Tipoeka Estuary core 1,TIPOEKA1,5,20,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
450,PAL00439,Tipoeka Estuary core 2,TIPOEKA2,5,20,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
451,PAL00440,Tobacco Lagoon_core1,TOBACCLGN,5,-9999,111,01.12.19,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
452,PAL00441,Tobani section,TOBANI,6,5,29,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
453,PAL00442,Toitoi Flat X81/16,TOITOI,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
454,PAL00443,Tom Burns Missen Core TBM,TBM,5,19,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
455,PAL00443,Tom Burns D-section Core TBD,TBD,5,20,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
456,PAL00444,Tom Gregory Swamp_core1,TOMGREG,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
457,PAL00017,Tom's Lake Bore 36342,TOMSLK,5,-9999,28,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
458,PAL00445,VIC2104A,VIC2104A,5,18,111,01.01.21,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
459,PAL00135,Tortoise Lagoon TOR,TORD2013,5,14,111,01.11.07,0,TORD2013,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
460,PAL00080,Township Lagoon TL1,TL1,5,20,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
461,PAL00080,Township Lagoon_core1,TOWNSHIP,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
462,PAL00446,Travis Swamp_core1,TRAVIS,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
463,PAL00446,Travis Swamp 1995 core,TRAVIS1995,5,-9999,84,1995,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
464,PAL00447,Trig Road Swamp N03/f39,TRIGRD,6,5,84,01.10.86,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
465,PAL00091,truwana East Coast Lagoon_core1,TEC,5,-9999,111,08.12.17,-9999.99,TEC,COREDATE source is IPPD,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
466,PAL00081,TUA1,TUA1,5,14,111,01.09.18,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
467,PAL00448,Tugupugua Basin core T1,TUGUPT1,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
468,PAL00449,Tullabardine Dam Location A B composite,TULLABAR,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
469,PAL00450,Tunapahore_core1,TUNAPAH,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
470,PAL00027,Two Mile Lake TML7,TML7,5,19,111,,0.3,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
471,PAL00451,Twyford Creek Dairymaid Plain_core1,TWYFORD,5,-9999,116,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
472,PAL00452,Tyrendarra Swamp_core1,TYRENDSWP,5,41,84,,0.3,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
473,PAL00453,Umutekai Pollen Core,UMUTEKAI,5,14,84,01.02.87,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
474,PAL00454,UB-Monolith,URELLA,14,40,84,2022,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
475,PAL00455,Victoria Fossil Cave VFC,VICFOSSIL,5,7,110,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
476,PAL00456,Waiatarua_core1,WAIATARUA,5,21,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
477,PAL00457,Waihi Beach Swamp core WB1,WAIHI,5,14,84,03.07.91,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
478,PAL00458,Waikaremoana core W1,WAIKEREM,5,19,111,,100,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
479,PAL00459,Wairepo Lagoon_core1,WAIREPO,5,20,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
480,PAL00092,EA200 Core 2,EA200,5,20,84,15.11.15,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
481,PAL00058,Walala Core 2,WALALA,5,19,111,01.09.03,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
482,PAL00460,Wangil Core Site_core1,WANGIL,5,7,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
483,PAL00461,Wangrah Creek Transect WCT 8 Profile WC7,WC7,5,-9999,28,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
484,PAL00461,Wangrah Creek Transect WCT 8 Profile W49,W49,5,-9999,28,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
485,PAL00461,Wangrah Creek Transect WCT 8 Profile W51,W51,5,-9999,28,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
486,PAL00461,Wangrah Creek Transect WCT 8 Profile W52,W52,5,-9999,28,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
487,PAL00462,Warrananga_core1,WARRANANGA,5,20,111,,0.2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
488,PAL00463,Warrimoo Oval Swamp_core1,WARRIMOO,5,20,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
489,PAL00147,Waruid core 1,WARUID1,5,14,112,,-9999.99,WARUID,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,50x500 mm^2 D-section corer
490,PAL00148,Waruid core 2,WARUID2,5,14,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
491,PAL00010,Wathumba A,WATHA,5,14,84,01.07.11,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
492,PAL00010,Wathumba B,WATHB,5,14,84,01.07.11,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
493,PAL00464,Waverly Beach pollen samples,WAVERLY,5,-9999,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
494,PAL00106,WC38,WC38,5,7,110,2015,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
495,PAL00106,WC39,WC39 ,5,7,110,2015,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
496,PAL00107,WS01,WS01,5,14,111,01.06.12,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
497,PAL00131,Welsby Lagoon WEL,WEL1986,5,14,111,01.11.09,0.5,WEL1986,unclear how this core relates to NEO_HANDLE 'ROTTEN',2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
498,PAL00132,Welsby Lagoon wetland edge core,WELEDGE,5,14,111,2009,1.2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
499,PAL00133,WL15-2,WL152,5,19,111,2015,0.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
500,PAL00108,WCS01,WCS01,5,14,111,01.06.12,1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
501,PAL00465,Wet Lagoon_core1,WETLGN,5,18,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
502,PAL00466,Whangape Harbour Core A,WHANGA,5,21,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
503,PAL00467,Whangape Harbour Core B (4),WHANGB,5,21,112,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
504,PAL00468,Wharau Road Swamp Borehole 5,WHARAU,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
505,PAL00469,White Lagoon_core1,WHITELGN,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
506,PAL00470,Whitehaven Swamp_core1,WHITEHVN,5,19,84,01.07.01,1.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
507,PAL00471,Wildes Meadow Swamp_core1,WILDES,5,14,-9999,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
508,PAL00472,Will02,WILL02,5,7,7,01.12.16,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
509,PAL00472,Will03,WILL03,5,7,7,01.12.16,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
510,PAL00009,Willigobung Swamp WG-1,WG1,5,19,84,1984,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
511,PAL00473,Wilson Bog_core1,WILSON,6,5,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
512,PAL00474,Wingecarribee Swamp W1,WINGECW1,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
513,PAL00475,Wingecarribee Swamp W2,WINGECW2,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
514,PAL00476,Winterton 1 X91/4,WINTERT1,6,5,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
515,PAL00476,Winterton 2 X91/5,WINTERT2,14,40,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
516,PAL00014,Witherspoon Swamp WS1,WS1,5,-9999,84,01.10.04,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
517,PAL00014,Witherspoon Swamp WS2,WS2,5,-9999,84,01.11.06,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
518,PAL00477,Wolgan Valley Swamp core C1,WOLGAN,5,20,84,04.06.11,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
519,PAL00478,Wombat Pool Core 12,WOMBAT,5,19,111,2011,2,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
520,PAL00479,Worimi Swamp L1,WORIMIL1,5,14,-9999,,0.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
521,PAL00480,Worimi Swamp L2,WORIMIL2,5,14,-9999,,0.1,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
522,PAL00481,Wyelangta_core1,WYELANGTA,5,-9999,7,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
523,PAL00482,Yakas Swamp_core1,YAKASSWP,5,21,7,2000,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
524,PAL00149,Yakka Lagoon_core1,YAKKALGN,5,-9999,-9999,05.12.19,-9999.99,YAK.LGN,COREDATE source is IPPD,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
525,PAL00150,YAN 2,YAN2,5,19,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
526,PAL00483,Yaouk Swamp_core1,YAOUKSWP,5,-9999,-9999,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
527,PAL00484,Yawi Ti_core1,YAWATI,5,-9999,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
528,PAL00485,Yellow Marsh YM,YELLOWM,5,14,84,01.12.10,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
529,PAL00486,Yeni Swamp MSI core 1.3,YENI,5,-9999,84,,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
530,PAL00487,Yombon Airstrip FIF/4,YOMBON,6,5,29,1991,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
531,PAL00082,Zurath Islet_core1,ZURATH06,5,7,84,,-9999.99,ZURATH06,"A single core (at 310cm depth) was obtained from the swamp centre. D-section recovery was limited owing to the heavy nature of the subsurface clay, so sampling was carried out at approximately 10cm intervals using a sand auger. (Rowe, 2005)",2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,50x500 mm^2 D-section corer
