UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC
290,PAL00039,Lake Wangoom LW87 core,LW87,5,18,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
291,PAL00039,Lake Wangoom_core1,WANGOOM,5,18,111,01.05.84,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
292,PAL00323,Lake Wanum_core1,WANUM,5,-9999,111,,3.5,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
293,PAL00324,Lake Wanum LW II,LWII,5,19,111,1974,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
294,PAL00067,Lake Werri Berri WB3,WB3,14,40,111,01.06.19,0,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
295,PAL00325,Lake Wilks_core1,WILKS,5,19,111,2012,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
296,PAL00326,Laravita Tarn_core1,LARAVITA,5,-9999,84,01.06.74,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
297,PAL00022,LL10,LASHLL10,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
298,PAL00022,LL15,LASHLL15,5,14,111,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
299,PAL00022,Lashmar's Lagoon_core1,LASHMAR,5,19,111,,0.9,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
300,PAL00327,Letham Burn_core1,LETHAMB,5,14,84,,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
301,PAL00328,Lewis Pass_core1,LEWISPASS,5,-9999,111,2008,-9999.99,,,2023-11-28 19:46:42.988 +0100,2024-01-08 10:19:32.660 +0100,
