UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,CREATED_AT,UPDATED_AT,COLL_SPEC,UNIT_DESCR
172,PAL00113,Ijomba Bog_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
173,PAL00248,Iluka Swamp core C3,,5,20,84,29.05.11,0,,,2023-11-29 05:46:42.988 +1100,,,
174,PAL00249,Ingar Swamp_core1,,5,20,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
175,PAL00250,Isabella Swamp Creek Core 2,,5,20,84,1989,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
176,PAL00251,Jemalong Gap Bore 36079,,5,-9999,28,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
177,PAL00252,Jibbon Lagoon Core 3,,5,14,84,1983,1.2,,,2023-11-29 05:46:42.988 +1100,,,
178,PAL00253,Junction Park Billabong JP1,,5,19,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
179,PAL00254,Kaipo_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
180,PAL00255,Kaitaia Bog Borehole 3,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
181,PAL00256,Kaitaia Bog Borehole 6,,5,14,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
182,PAL00258,Kaitoke Swamp_core1,,5,21,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
183,PAL00259,Kaitoke Swamp Tongue_core1,,6,5,-9999,,0,,,2023-11-29 05:46:42.988 +1100,,,
184,PAL00260,Kangaroo Creek Monolith KCM,,14,40,111,2001,3.5,,,2023-11-29 05:46:42.988 +1100,,,
185,PAL00261,Katoomba Swamp Core 1,,5,20,84,,0,,,2023-11-29 05:46:42.988 +1100,,,
186,PAL00261,Katoomba Swamp Core 2,,5,20,84,,0,,,2023-11-29 05:46:42.988 +1100,,,
187,PAL00262,Kawarau Gorge K9 X82/2,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
188,PAL00263,Kelela Swamp_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
189,PAL00264,X97/22,,5,14,84,01.01.97,0,,,2023-11-29 05:46:42.988 +1100,,,
190,PAL00265,Killalea Lagoon centre core,,5,14,112,,1,,,2023-11-29 05:46:42.988 +1100,,,
191,PAL00266,Killiecrankie Swamp_core1,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
192,PAL00109,King River KR02,,5,20,7,2011,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
193,PAL00267,Kings Tableland Swamp_short core,,5,-9999,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
194,PAL00267,Kings Tableland Swamp_core1,,5,20,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
195,PAL00268,Kings Waterhole_core1,,5,14,84,01.04.04,0.1,,,2023-11-29 05:46:42.988 +1100,,,
196,PAL00269,Kohika_core1,,5,-9999,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
197,PAL00270,Kohuora Core A Core B composite,,5,7,-9999,01.01.95,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
198,PAL00271,Z0204,,5,14,84,21.05.02,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
199,PAL00271,Kopouatai Bog Core A (21) Core B (22) composite,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
200,PAL00272,Kopouatai Bog Core 15,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
201,PAL00273,Kosipe KPA,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
202,PAL00274,Kosipe KPC,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
203,PAL00275,Kosipe KPE,,5,-9999,84,01.06.74,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
204,PAL00276,Kugubaru section,,5,7,116,,0,,,2023-11-29 05:46:42.988 +1100,,,
205,PAL00277,Kurnell Fen Core 1,,5,20,-9999,1983,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
206,PAL00277,Kurnell Fen Core 2,,5,20,-9999,1988,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
207,PAL00278,Lachlan River Section 6 Bore 14747,,5,-9999,28,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
208,PAL00279,Lagoon Saddle_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
209,PAL00280,Lahakai Swamp_core1,,5,14,84,1987,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
210,PAL00069,Lake Baraba_core1,,5,14,111,01.06.03,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
211,PAL00043,Lake Bolac LB,,5,18,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
212,PAL00281,LBG WL 2011,,5,18,111,2011,9,,,2023-11-29 05:46:42.988 +1100,,,
213,PAL00060,Lake Burn_core1,,5,19,111,,0.8,,,2023-11-29 05:46:42.988 +1100,,,
214,PAL00282,Lake Clearwater_core1,,5,17,111,,2,,,2023-11-29 05:46:42.988 +1100,,,
215,PAL00034,Lake Colac_core1,,5,14,111,,0,,,2023-11-29 05:46:42.988 +1100,,,
216,PAL00115,Lake Condah_core1,LC1B,5,18,111,,0,LC1B,,2023-11-29 05:46:42.988 +1100,,Missen hydraulic piston sample,
217,PAL00116,Lake Condah core 1b,,5,19,111,01.01.86,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
218,PAL00068,LC2,,5,21,111,,1.8,,,2023-11-29 05:46:42.988 +1100,,,
219,PAL00068,Lake Couridjah_core1,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
220,PAL00283,Lake Curlip_core1,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
221,PAL00053,Lake Dobson_core1,,5,19,111,01.01.09,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
222,PAL00284,Lake Emma_core1,,5,7,111,,4,,,2023-11-29 05:46:42.988 +1100,,,
223,PAL00285,Lake Euramoo_core1,,5,19,111,01.07.99,18,,,2023-11-29 05:46:42.988 +1100,,,
224,PAL00054,Lake Eyre Core LE 82/2,,5,-9999,111,1982,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
225,PAL00021,Lake Flannigan King Island Core LF,,5,20,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
226,PAL00286,FORS1-LC,,5,18,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
227,PAL00033,Lake Frome Core LF 82/2,,5,19,111,1982,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
228,PAL00287,TAS1102,,5,19,111,01.01.11,1.2,,,2023-11-29 05:46:42.988 +1100,,,
229,PAL00130,Gemco LG2,,5,18,111,01.07.72,-9999.99,,unclear how this core relates to NEO_HANDLE 'LGEORGE',2023-11-29 05:46:42.988 +1100,,,
230,PAL00130,Gemco LG1 LG3 composite,,5,18,111,01.07.72,-9999.99,,unclear how this core relates to NEO_HANDLE 'LGEORGE',2023-11-29 05:46:42.988 +1100,,,
231,PAL00288,TAS1106,,5,19,111,01.01.11,30,,,2023-11-29 05:46:42.988 +1100,,,
232,PAL00289,Lake Habbema_core1,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
233,PAL00290,Lake Hakanoa_core1,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
234,PAL00291,Lake Hanson Core 12,,5,19,111,2012,6.5,,,2023-11-29 05:46:42.988 +1100,,,
235,PAL00331,Lower Lake Hogayaku HGL core,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
236,PAL00037,Lake Hordern centre core B,,5,-9999,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
237,PAL00038,Lake Hordern main core A,,5,20,111,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
238,PAL00114,Lake Hordorli_core1,HODORLI,5,14,84,14.12.86,0,HODORLI,COREDATE source is IPPD,2023-11-29 05:46:42.988 +1100,,Base not reached,
239,PAL00292,TAS1503,,5,19,111,01.01.15,14,,,2023-11-29 05:46:42.988 +1100,,,
240,PAL00293,Lake Johnson_core1,,5,-9999,111,2009,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
241,PAL00294,Lake Johnston Core JA,,5,41,-9999,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
242,PAL00057,TAS1203,,5,19,111,01.01.12,12,,,2023-11-29 05:46:42.988 +1100,,,
243,PAL00137,Lake Kirkpatrick 2007 core,,5,19,111,2007,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
244,PAL00137,KIRK09,KIRKPAT,5,7,111,05.02.09,4.5,KIRKPAT,,2023-11-29 05:46:42.988 +1100,,polycarbonate tube (Klien core),
245,PAL00295,KTB17,,5,18,111,2018,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
246,PAL00296,Lake Letitia_core1,,5,-9999,111,2008,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
247,PAL00297,Lake Lilla Core 12F,,5,17,111,2012,13.2,,,2023-11-29 05:46:42.988 +1100,,,
248,PAL00059,LMN1,,5,14,111,01.09.18,0,,,2023-11-29 05:46:42.988 +1100,,,
249,PAL00035,Lake Modewarre_core1,MODEWARRE,5,14,111,01.11.09,0,MODEWARRE,,2023-11-29 05:46:42.988 +1100,,,
250,PAL00298,Lake Mountain_core1,,5,19,84,,-9999.99,,,2023-11-29 05:46:42.988 +1100,,,
251,PAL00299,TAS1107,,5,19,111,01.01.11,24.1,,,2023-11-29 05:46:42.988 +1100,,,
