"SMPAGEID","SAMPLEID","CHRONLGYID","AGE","AGEYOUNGER","AGEOLDER","CREATED_AT","UPDATED_AT"
3722,3583,84,213,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3723,3583,85,29,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3724,3585,84,216,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3725,3585,85,29,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3726,3587,84,221,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3727,3587,85,30,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3728,3589,84,226,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3729,3589,85,43,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3730,3591,84,231,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3731,3591,85,58,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3732,3593,84,235,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3733,3593,85,69,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3734,3595,84,240,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3735,3595,85,81,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3736,3597,84,245,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3737,3597,85,95,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3738,3599,84,250,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3739,3599,85,109,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3740,3601,84,255,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3741,3601,85,121,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3742,3603,84,260,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3743,3603,85,135,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3744,3605,84,263,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3745,3605,85,144,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3746,3607,84,267,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3747,3607,85,156,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3748,3609,84,272,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3749,3609,85,169,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3750,3611,84,277,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3751,3611,85,181,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3752,3613,84,281,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3753,3613,85,193,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3754,3615,84,286,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3755,3615,85,206,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3756,3617,84,291,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3757,3617,85,220,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3758,3619,84,295,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3759,3619,85,231,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3760,3621,84,299,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3761,3621,85,241,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3762,3623,84,304,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3763,3623,85,256,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3764,3625,84,308,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3765,3625,85,266,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3766,3627,84,313,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3767,3627,85,280,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3768,3629,84,317,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3769,3629,85,292,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3770,3631,84,322,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3771,3631,85,303,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3772,3633,84,326,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3773,3633,85,315,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3774,3635,84,331,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3775,3635,85,327,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3776,3637,84,334,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3777,3637,85,337,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3778,3639,84,340,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3779,3639,85,352,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3780,3641,84,404,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3781,3641,85,437,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3782,3643,84,451,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
3783,3643,85,485,NA,NA,"2024-04-11 08:39:06.965 +0200",NA
