"JOURNALID","JOURNAL","JOURNALABB","PRINT_ISSN","ONLIN_ISSN","CREATED_AT","UPDATED_AT"
56,"Australian Archaeology","Aust_Archaeol","0312-2417","2470-0363","2021-11-19 12:11:05.011 +0100",""
57,"Australian Geographer","Aust_Geogr","0004-9182","1465-3311","2021-11-19 12:11:05.011 +0100",""
58,"Australian Journal of Botany","Aust_J_Bot","0067-1924","1444-9862","2021-11-19 12:11:05.011 +0100",""
59,"Australian Journal of Earth Sciences","Aust_J_Earth_Sci","0812-0099","1440-0952","2021-11-19 12:11:05.011 +0100",""
60,"The Australian Journal of Science","Aust_J_Sci","","0365-3668","2021-11-19 12:11:05.011 +0100",""
61,"Australian Zoologist","Aust_Zool","0067-2238","2204-2105","2021-11-19 12:11:05.011 +0100",""
62,"Biology Letters","Biology_Lett","1744-957X","1744-9561","2021-11-19 12:11:05.011 +0100",""
63,"Boreas","Boreas","","1502-3885","2021-11-19 12:11:05.011 +0100",""
64,"Bulletin of the Indo-Pacific Prehistory Association","Bull_Indo_Pac_Pre_Hi","0156-1316","1835-1794","2021-11-19 12:11:05.011 +0100",""
65,"Cambridge Archaeological Journal","Camb_Archaeol_J","0959-7743","1474-0540","2021-11-19 12:11:05.011 +0100",""
66,"Catena","Catena","0341-8162","1872-6887","2021-11-19 12:11:05.011 +0100",""
67,"Chemical Geology: Isotope Geoscience section","Chem_Geol","0168-9622","1878-5999","2021-11-19 12:11:05.011 +0100",""
68,"Climate of the Past","Clim_Past","1814-9324","1814-9332","2021-11-19 12:11:05.011 +0100",""
69,"Geoarchaeology","Geoarchaeology","0883-6353","1520-6548","2021-11-19 12:11:05.011 +0100",""
70,"Geochemistry: Exploration, Environment, Analysis","Geochem_Explor_Env_A","1467-7873","2041-4943","2021-11-19 12:11:05.011 +0100",""
71,"Geologische Rundschau","Geol_Rundsch","0016-7835","1432-1149","2021-11-19 12:11:05.011 +0100",""
72,"Geosciences Journal","Geosci_J","1226-4806","1598-7477","2021-11-19 12:11:05.011 +0100",""
73,"Helicite","Helicite","","0017-9973","2021-11-19 12:11:05.011 +0100",""
74,"Journal of Anthropological Archaeology","J_Anthropol_Archaeol","0278-4165","1090-2686","2021-11-19 12:11:05.011 +0100",""
75,"Journal of Archaeological Science","J_Archaeol_Sci","0305-4403","1095-9238","2021-11-19 12:11:05.011 +0100",""
76,"Journal of Arid Environments","J_Arid_Environ","0140-1963","1095-922X","2021-11-19 12:11:05.011 +0100",""
77,"Journal of Biogeography","J_Biogeogr","0305-0270","1365-2699","2021-11-19 12:11:05.011 +0100",""
78,"Journal of Geochemical Exploration","J_Geochem_Explor","0375-6742","1879-1689","2021-11-19 12:11:05.011 +0100",""
79,"Journal of Pacific Archaeology","J_Pac_Archaeol","1179-4704","1179-4712","2021-11-19 12:11:05.011 +0100",""
80,"Journal of Quaternary Science","J_Quaternary_Sci","0267-8179","1099-1417","2021-11-19 12:11:05.011 +0100",""
81,"Journal of Soil Science","J_Soil_Sci","0022-4588","2056-5240","2021-11-19 12:11:05.011 +0100",""
82,"Journal of Systematic Palaeontology","J_Syst_Palaeontol","1477-2019","1478-0941","2021-11-19 12:11:05.011 +0100",""
83,"Journal of the Geological Society of Australia","J_Geol_Soc_Aust","","0016-7614","2021-11-19 12:11:05.011 +0100",""
84,"Journal of the Geological Society of Queensland","J_Geol_Soc_Qld","","","2021-11-19 12:11:05.011 +0100",""
85,"Journal of the Royal Society of Western Australia","J_Roy_Soc_West_Aust","","0035-922X","2021-11-19 12:11:05.011 +0100",""
86,"Mankind","Mankind","","","2021-11-19 12:11:05.011 +0100",""
87,"Marine & Freshwater Research","Mar_Freshwater_Res","1323-1650","1448-6059","2021-11-19 12:11:05.011 +0100",""
88,"Memoirs of the National Museum of Victoria","Mem_Museum_Vic","","0083-5986","2021-11-19 12:11:05.011 +0100",""
89,"Memoirs of the Queensland Museum / NATURE","Mem_Qld_Museum_Nature","0079-8835","2204-1478","2021-11-19 12:11:05.011 +0100",""
90,"MESA Journal","Mesa_Journal","1326-3544","2207-2152","2021-11-19 12:11:05.011 +0100",""
91,"Nature Communications","Nat_Commun","","2041-1723","2021-11-19 12:11:05.011 +0100",""
92,"New Zealand Journal of Geology and Geophysics","New_Zeal_J_Geol_Geop","0028-8306","1175-8791","2021-11-19 12:11:05.011 +0100",""
93,"Palaeoclimates: Data and Modelling","Palaeoclimates","","","2021-11-19 12:11:05.011 +0100",""
94,"Papers and Proceedings of the Royal Society of Tasmania","P_R_Soc_Tasmania","","0080-4703","2021-11-19 12:11:05.011 +0100",""
95,"Philosophical Transactions of the Royal Society B: Biological Sciences","Philos_T_R_Soc_B","0264-3839","2053-924X","2021-11-19 12:11:05.011 +0100",""
96,"PLoS ONE","Plos_One","","1932-6203","2021-11-19 12:11:05.011 +0100",""
97,"Proceedings of the Linnean Society of New South Wales","P_Linn_Soc_NSW","1839-7263","0370-047X","2021-11-19 12:11:05.011 +0100",""
98,"Proceedings of the National Academy of Sciences","P_Natl_Acad_Sci_USA","0027-8424","1091-6490","2021-11-19 12:11:05.011 +0100",""
99,"Proceedings of the Prehistoric Society","P_Prehist_Soc","0079-497X","2050-2729","2021-11-19 12:11:05.011 +0100",""
100,"Proceedings of the Royal Society of Victoria","P_R_Soc_Victoria","0035-9211","2204-1362","2021-11-19 12:11:05.011 +0100",""
101,"Quaternary Australasia","Quat_Aust","","0811-0433","2021-11-19 12:11:05.011 +0100",""
102,"Queensland Archaeological Research","Queensland_Archaeol_Res","0814-3021","1839-339X","2021-11-19 12:11:05.011 +0100",""
103,"Radiation Protection Dosimetry","Radiat_Prot_Dosim","0144-8420","1742-3406","2021-11-19 12:11:05.011 +0100",""
104,"Radiocarbon","Radiocarbon","0033-8222","1945-5755","2021-11-19 12:11:05.011 +0100",""
105,"Records of the Australian Museum","Rec_Aust_Mus","0067-1975","2201-4349","2021-11-19 12:11:05.011 +0100","2022-04-27 09:59:49.992 +0200"
106,"Records of the Queen Victoria Museum Launceston","Rec_Vic_Mus","0085-5278","","2021-11-19 12:11:05.011 +0100",""
107,"Records of the South Australian Museum","Rec_S_Aust_Mus","0376-2750","","2021-11-19 12:11:05.011 +0100",""
108,"Records of the Western Australian Museum","Rec_W_Aust_Mus","0312-3162","","2021-11-19 12:11:05.011 +0100",""
109,"Review of Palaeobotany and Palynology","Rev_Palaeobotany_Palyno","0034-6667","1879-0615","2021-11-19 12:11:05.011 +0100",""
110,"Search","Search","","0004-9549","2021-11-19 12:11:05.011 +0100",""
111,"Bulletin of the AMNH","B_Am_Mus_Nat_Hist","0003-0090","1937-3546","2021-11-19 12:11:05.011 +0100",""
112,"The Geographical Journal","Geogr_J","0016-7398","1475-4959","2021-11-19 12:11:05.011 +0100",""
113,"The Holocene","Holocene","0959-6836","1477-0911","2021-11-19 12:11:05.011 +0100",""
114,"Journal of Island and Coastal Archaeology","J_Isl_Coast_Archaeol","1556-4894","1556-1828","2021-11-19 12:11:05.011 +0100",""
115,"The Western Caver","West_Caver","","","2021-11-19 12:11:05.011 +0100",""
116,"Transactions of the Royal Society of South Australia","T_Roy_Soc_South_Aust","2204-0293","0372-1426","2021-11-19 12:11:05.011 +0100",""
117,"Geological Society of America Abstracts","Geol_Soc_Am_Bull_Abstr","","0435-3986","2021-11-19 12:11:05.011 +0100",""
118,"Archaeological and Anthropological Sciences","Archaeol_Anthrop_Sci","1866-9557","1866-9565","2021-11-19 12:11:05.011 +0100",""
119,"The Artefact: the Journal of the Archaeological and Anthropological Society of Victoria","Artefact","","","2021-11-19 12:11:05.011 +0100",""
120,"Asian Perspectives","Asian_Perspect","0066-8435","1535-8283","2021-11-19 12:11:05.011 +0100",""
121,"Beagle: Records of the Museums and Art Galleries of the Northern Territory","Beagle","","0811-3653","2021-11-19 12:11:05.011 +0100",""
122,"Journal of Archaeological Method and Theory","J_Archaeol_Method_Th","1072-5369","1573-7764","2021-11-19 12:11:05.011 +0100",""
123,"Journal of Archaeological Science: Reports","J_Archaeol_Sci_Rep","","2352-409X","2021-11-19 12:11:05.011 +0100",""
124,"Journal of the Australian Association of Consulting Archaeologists","J_Aust_Assoc_Archaeol","","2202-7890","2021-11-19 12:11:05.011 +0100",""
125,"Marine Geology","Mar_Geol","","0025-3227","2021-11-19 12:11:05.011 +0100",""
126,"Memoirs of the Queensland Museum / CULTURE","Mem_Qld_Museum_Culture","1440-4788","","2021-11-19 12:11:05.011 +0100",""
127,"Oceania","Oceania","","1834-4461","2021-11-19 12:11:05.011 +0100",""
128,"Papers and Proceedings of the Royal Society of Queensland","P_R_Soc_Queensland","","0080-469X","2021-11-19 12:11:05.011 +0100",""
129,"Studies in Conservation","Stud_Conserv","0039-3630","2047-0584","2021-11-19 12:11:05.011 +0100",""
130,"World Archaeology","World_Archaeol","0043-8243","1470-1375","2021-11-19 12:11:05.011 +0100",""
131,"Acta Geologica Sinica","Acta_Geol_Sin-Engl","","1755-6724","2021-11-19 12:11:05.011 +0100",""
132,"Arctic, Antarctic, and Alpine Research","Arct_Antarct_Alp_Res","1523-0430","1938-4246","2021-11-19 12:11:05.011 +0100",""
133,"Geografiska Annaler: Series A, Physical Geography","Geogr_Ann_A","0435-3676","1468-0459","2021-11-19 12:11:05.011 +0100",""
134,"Cuadernos de Investigación Geográfica","Cuadern_Inestig_Geogr","0211-6820","1697-9540","2021-11-19 12:11:05.011 +0100",""
135,"E&G Quaternary Science Journal","Quaternary_Sci_J","0424-7116","2199-9090","2021-11-19 12:11:05.011 +0100",""
136,"Antarctic Science","Antarct_Sci","0954-1020","1365-2079","2021-11-19 12:11:05.011 +0100",""
137,"Annals of Glaciology","Ann_Glaciol","0260-3055","1727-5644","2021-11-19 12:11:05.011 +0100",""
138,"Arktos","Arktos","2364-9453","2364-9461","2021-11-19 12:11:05.011 +0100",""
139,"Journal of Geophysical Research: Solid Earth","J_Geophys_Res-Solid","","2169-9356","2021-11-19 12:11:05.011 +0100",""
140,"Zeitschrift für Geomorphologie, Supplement Issues","Z_Geomorphol_Supp","","0372-8854","2021-11-19 12:11:05.011 +0100",""
141,"Austrian Journal of Earth Sciences","Austrian_J_Earth_Sci","","2072-7151","2021-11-19 12:11:05.011 +0100",""
142,"Acta Universitatis Carolinae Geographica","Acta_U_Carol_Geogr","0300-5402","2336-1980","2021-11-19 12:11:05.011 +0100",""
143,"Bulletin of Volcanology","B_Volcanol","0258-8900","1432-0819","2021-11-19 12:11:05.011 +0100",""
144,"Annals of the Association of American Geographers","Ann_Assoc_Am_Geogr","0004-5608","1467-8306","2021-11-19 12:11:05.011 +0100",""
145,"Journal of Climate","J_Climate","0894-8755","1520-0442","2021-11-19 12:11:05.011 +0100",""
146,"Cryosphere","The Cryosphere","1994-0416","1994-0424","2021-11-19 12:11:05.011 +0100",""
147,"Polar Research","Polar_Res","0800-0395","1751-8369","2021-11-19 12:11:05.011 +0100",""
148,"Geochronometria","Geochronometria","1733-8387","1897-1695","2021-11-19 12:11:05.011 +0100",""
149,"Global Change Biology","Global_Change_Biol","1354-1013","1365-2486","2021-11-19 12:11:05.011 +0100",""
150,"Journal of Glaciology and Geocryology","J_Glaciol_Geocryol","","1000-0240","2021-11-19 12:11:05.011 +0100",""
151,"Eclogae Geologicae Helvetiae","Eclogae_Geol_Helv","","1420-9128","2021-11-19 12:11:05.011 +0100",""
152,"Quaternary Science Advances","Quaternary_Sci_Adv","","2666-0334","2021-11-19 12:11:05.011 +0100",""
153,"Polar Science","Polar_Sci","1873-9652","1876-4428","2021-11-19 12:11:05.011 +0100",""
154,"Archiv für Geschiebekunde","Arch_Geschiebe","","0936-2967","2021-11-19 12:11:05.011 +0100",""
155,"Bulletin of the National Museum of Japanese History","B_Natl_Mus_Japan","","0286-7400","2021-11-19 12:11:05.011 +0100",""
156,"Nuclear Instruments and Methods in Physics Research B","Nucl_Instrum_Meth_B","0168-583X","1872-9584","2021-11-19 12:11:05.011 +0100",""
157,"Canadian Journal of Earth Sciences","Can_J_Earth_Sci","0008-4077","1480-3313","2021-11-19 12:11:05.011 +0100",""
158,"Cave and Karst Science","Cave_Karst_Sci","","1356-191X","2021-11-19 12:11:05.011 +0100",""
159,"International Geology Review","Int_Geol_Rev","0020-6814","1938-2839","2021-11-19 12:11:05.011 +0100",""
160,"Chinese Journal of Polar Science","Chinese_J_Polar_Sci","","1007-7065","2021-11-19 12:11:05.011 +0100",""
161,"Chinese Science Bulletin","Chinese_Sci_B","1001-6538","1861-9541","2021-11-19 12:11:05.011 +0100",""
162,"Geographica Helvetica","Geogr_Helv","0016-7312","2194-8798","2021-11-19 12:11:05.011 +0100",""
163,"Geochronology","Geochronology","","2628-3719","2021-11-19 12:11:05.011 +0100",""
164,"Geografický časopis","Geogr_Casopis","0016-7193","2453-8787","2021-11-19 12:11:05.011 +0100",""
165,"npj Climate and Atmospheric Science","npj_Clim_Atmos:Sci","","2397-3722","2021-11-19 12:11:05.011 +0100",""
166,"Science Bulletin","Sci_Bull_CHN","2095-9273","2095-9281","2021-11-19 12:11:05.011 +0100",""
167,"Science Advances","Science_Adv","","2375-2548","2021-11-19 12:11:05.011 +0100",""
168,"Norwegian Journal of Geology","Norw_J_Geol","2387-5852","2387-5844","2021-11-19 12:11:05.011 +0100",""
169,"Relief Boden Paläoklima","Relief_Boden_Pal","","0720-4876","2021-11-19 12:11:05.011 +0100",""
170,"Geological Society of America Special Papers","Geol_Soc_Am_S","0072-1077","2331-219X","2021-11-19 12:11:05.011 +0100",""
171,"Science in China Series D: Earth Sciences","Sci_China_Ser_D","1006-9313","1862-2801","2021-11-19 12:11:05.011 +0100",""
