CALPROGID,CALPROGRAM,CALPROGVER,CALPROGREF,PARENTID,CALPRODATE,CALPRONOTE,CREATED_AT,UPDATED_AT
42,CALIBomb,2015,,37,25.03.2015,"Modified the curve smoothing algorithm. Previously, the uncertainty on the smoothed curve was taken as the maximum of the variance within the smoothing window and the average uncertainty. This caused inappropriately large uncertainties to develop in the rapidly changing portion of the bomb curve. The smoothed curve uncertainty is now just the average uncertainty in the smoothing window. Be aware that smoothing truncates the calibration curve, leading to 'end of data set' effects on the cal ranges. On which end of the curve these effects occur depends on whether results are shown as cal BP or cal AD/BC. The 'end of dataset effect' indicator [*] has been made to work for both cal BP and cal AD/BC. Added the UW single year tree ring dataset from 1998 as a pre-bomb calibration dataset",2023-06-16 09:56:22.112 +0200,2023-06-16 10:09:05.136 +0200
43,CALIBomb,2016,,37,10.03.2016,"Added single year pine data from Brazil to the post-bomb calibration curve selection. This dataset extends back to 1928 and cannot be merged with IntCal. Santos GM, Linares R, Lisi CS and Tomazello Filho M. 2015. Annual growth rings in a sample of Paraná pine (Araucaria angustifolia): Toward improving the 14C calibration curve for the Southern Hemisphere, Quaternary Geochronology 25:96-103, doi: 10.1016/j.quageo.2014.10.004",2023-06-16 09:56:22.112 +0200,2023-06-16 10:09:05.433 +0200
44,CALIBomb,2017,,37,22.03.2017,Levin dataset was updated to include monthly means of Schauinsland measurements through 2016 http://dx.doi.org/10.11588/data/10100,2023-06-16 09:56:22.112 +0200,2023-06-16 10:09:05.730 +0200
45,CALIBomb,2020,,37,22.09.2020,Levin dataset was updated to include bi-weekly measurements through August 2019 https://hdl.handle.net/11676/X-lXPKZlO4DWX7wncsLQ7akY,2023-06-16 09:56:22.112 +0200,2023-06-16 10:09:06.029 +0200
46,CALIBomb,2021,,37,24.11.2021," Updated versions of the Northern and Southern Hemisphere Zones by Hua et al have been incorporated. These are considered replacements for some of the previously used data sets. The CALIBomb software has been updated to execute client-side rather than server-side, A multi-sample calibration capability has been added through the 'Advanced' link",2023-06-16 09:56:22.112 +0200,2023-06-16 10:09:06.327 +0200
47,CalPal (non-specific),,Weninger:2007calpal,3,,For version history details see https://doi.org/10.5281/zenodo.7423920,2023-06-16 09:56:22.112 +0200,
48,CalPal,2016.1,,47,,,2023-06-16 09:56:22.112 +0200,
49,CalPal,2016.2,,47,,,2023-06-16 09:56:22.112 +0200,
50,CalPal,2016.3,,47,,,2023-06-16 09:56:22.112 +0200,
51,CalPal,2016.4,,47,,,2023-06-16 09:56:22.112 +0200,
52,CalPal,2016.5,,47,,,2023-06-16 09:56:22.112 +0200,
53,CalPal,2016.6,,47,,,2023-06-16 09:56:22.112 +0200,
54,CalPal,2016.7,,47,,,2023-06-16 09:56:22.112 +0200,
55,CalPal,2016.8,,47,,,2023-06-16 09:56:22.112 +0200,
56,CalPal,2017.0,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
57,CalPal,2017.1,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
58,CalPal,2017.2,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
59,CalPal,2017.3,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
60,CalPal,2017.4,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
61,CalPal,2017.5,,47,,Distributable 32 BIT Version,2023-06-16 09:56:22.112 +0200,
62,CalPal,2017.6,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC Version",2023-06-16 09:56:22.112 +0200,
63,CalPal,2018.0,,47,,"64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
64,CalPal,2018.1,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
65,CalPal,2018.2,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
66,CalPal,2018.3,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
67,CalPal,2018.4,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
68,CalPal,2018.5,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
69,CalPal,2018.6,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
70,CalPal,2018.7,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
71,CalPal,2018.8,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
72,CalPal,2018.9,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
73,CalPal,2019.0,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
74,CalPal,2019.1,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC, ASCII-Database Version",2023-06-16 09:56:22.112 +0200,
75,CalPal,2019.2,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
76,CalPal,2019.3,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
77,CalPal,2019.4,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
78,CalPal,2019.5,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
79,CalPal,2019.6,,47,,"Distributable 64 BIT OS, 32/64 Bit ODBC: xls/xlsx-ASCII-Database",2023-06-16 09:56:22.112 +0200,
