"CCONTRLID","CCONTRLTYP","PARENTID","METHODID","CREATED_AT","UPDATED_AT"
87,"Blois et al. 2011 pollen boundary",6,NA,"2024-03-28 11:50:27.323 +0100",""
88,"European Pollen Database pollen boundary",6,NA,"2024-03-28 11:50:27.323 +0100",""
89,"Firbas pollen-zone boundary",88,NA,"2024-03-28 11:50:27.323 +0100",""
90,"Heeb & Welten (1972) pollen boundary",88,NA,"2024-03-28 11:50:27.323 +0100",""
91,"Welten (1982) pollen boundary",88,NA,"2024-03-28 11:50:27.323 +0100",""
92,"W.O. van der Knaap pollen boundary",88,NA,"2024-03-28 11:50:27.323 +0100",""
93,"ALPADABA pollen boundary",88,NA,"2024-03-28 11:50:27.323 +0100",""
94,"Core top, estimated",45,NA,"2024-03-28 11:50:27.323 +0100",""
95,"Biostratigraphic, pollen, regional",38,NA,"2024-03-28 11:50:27.323 +0100",""
96,"Geomagnetic excursion",35,NA,"2024-03-28 11:50:27.323 +0100",""
97,"Marine isotope stage event",35,NA,"2024-03-28 11:50:27.323 +0100",""
98,"IDW-2d Tsuga decline",87,NA,"2024-03-28 11:50:27.323 +0100",""
99,"IDW-2d Alnus decline",87,NA,"2024-03-28 11:50:27.323 +0100",""
100,"Marine isotope stage boundary",35,NA,"2024-03-28 11:50:27.323 +0100",""
101,"Pollen concentration (Middeldorp method)",5,NA,"2024-03-28 11:50:27.323 +0100",""
103,"Biostratigraphic, pollen, Younger Dryas/Holocene",6,NA,"2024-03-28 11:50:27.323 +0100",""
104,"Biostratigraphic, pollen, Allerød/Younger Dryas",6,NA,"2024-03-28 11:50:27.323 +0100",""
105,"Biostratigraphic, pollen, Oldest Dryas/Bølling",6,NA,"2024-03-28 11:50:27.323 +0100",""
106,"Biostratigraphic, pollen, Older Dryas/Allerød",6,NA,"2024-03-28 11:50:27.323 +0100",""
107,"IDW-2d Ulmus decline",87,NA,"2024-03-28 11:50:27.323 +0100",""
108,"Annual laminations (varves)/Sedimentation rate",59,NA,"2024-03-28 11:50:27.323 +0100",""
109,"Pre-EuroAmerican settlement horizon",110,NA,"2024-03-28 11:50:27.323 +0100",""
110,"Cultural",45,NA,"2024-03-28 11:50:27.323 +0100",""
111,"Radiocarbon, calibrated, range of dates",2,NA,"2024-03-28 11:50:27.323 +0100",""
112,"Radiocarbon, calibrated, Bayesian modelled",2,NA,"2024-03-28 11:50:27.323 +0100",""
113,"Mesoamerican chronology",9,NA,"2024-03-28 11:50:27.323 +0100",""
114,"Infrared Stimulated Luminescence (IRSL)",44,51,"2024-03-28 11:50:27.323 +0100","2024-03-28 12:21:17.344 +0100"
115,"Collection period",59,NA,"2024-03-28 11:50:27.323 +0100",""
116,"Biostratigraphic, pollen, Pleniglacial/Meiendorf",6,NA,"2024-03-28 11:50:27.323 +0100",""
117,"Radiocarbon, modern fraction (F14C)",44,NA,"2024-03-28 11:50:27.323 +0100",""
