V_UNITID,V_UNITABBR,V_UNITNAME,PARENTID,CREATED_AT,UPDATED_AT
-9999,ND,no data,-9999,2023-09-05 20:34:37.239 +1000,2023-09-05 20:34:37.239 +1000
1,quant,quantity,1,2023-04-16 23:39:20.660 +1000,
2,qual,quality,2,2023-04-16 23:39:20.660 +1000,
3,length,lenght (indet.),1,2023-04-16 23:39:20.660 +1000,
4,area,area (indet.),1,2023-04-16 23:39:20.660 +1000,
5,volume,volume (indet.),1,2023-04-16 23:39:20.660 +1000,
6,mass,mass (indet.),1,2023-04-16 23:39:20.660 +1000,
7,t,time (indet.),1,2023-04-16 23:39:20.660 +1000,
8,T,temperature (indet.),1,2023-04-16 23:39:20.660 +1000,
9,conc,concentration (indet.),1,2023-04-16 23:39:20.660 +1000,
10,m.conc,mass concentration,1,2023-04-16 23:39:20.660 +1000,
11,mol.conc,molar concentration,1,2023-04-16 23:39:20.660 +1000,
12,n.conc,number concentration,1,2023-04-16 23:39:20.660 +1000,
13,vol.conc,volume concentration,1,2023-04-16 23:39:20.660 +1000,
14,m.frac,mass fraction,15,2023-04-16 23:39:20.660 +1000,
15,dimless,dimensionless,1,2023-04-16 23:39:20.660 +1000,
16,pts (indet.),points (indet.),2,2023-04-16 23:39:20.660 +1000,
17,pts,points counted,1,2023-04-16 23:39:20.660 +1000,
18,cts (indet.),counts (indet.),2,2023-04-16 23:39:20.660 +1000,
19,grns (indet.),grains (indet.),2,2023-04-16 23:39:20.660 +1000,
20,grns,grains counted,1,2023-04-16 23:39:20.660 +1000,
21,n,number,21,2023-04-16 23:39:20.660 +1000,
22,NISP,number of identified specimen,1,2023-04-16 23:39:20.660 +1000,
23,parts (indet.),particles (indet.),2,2023-04-16 23:39:20.660 +1000,
24,parts,particles counted,1,2023-04-16 23:39:20.660 +1000,
25,frags (indet.),fragments (indet.),2,2023-04-16 23:39:20.660 +1000,
26,frags,fragments counted,1,2023-04-16 23:39:20.660 +1000,
27,sphrs (indet.),spheres (indet.),2,2023-04-16 23:39:20.660 +1000,
28,sphrs,spheres counted,1,2023-04-16 23:39:20.660 +1000,
29,pollen (indet.),pollen (indet.),2,2023-04-16 23:39:20.660 +1000,
30,pollen,pollen counted,1,2023-04-16 23:39:20.660 +1000,
31,nods (indet.),nodules (indet.),2,2023-04-16 23:39:20.660 +1000,
32,nods,nodules counted,1,2023-04-16 23:39:20.660 +1000,
33,tabl,tablet,2,2023-04-16 23:39:20.660 +1000,
34,pix (indet.),pixel (indet.),2,2023-04-16 23:39:20.660 +1000,
35,pix,pixels counted,1,2023-04-16 23:39:20.660 +1000,
36,aliq,aliquot,2,2023-04-16 23:39:20.660 +1000,
37,spec,specimen (individual),2,2023-04-16 23:39:20.660 +1000,
38,ratio,ratio (indet.),38,2023-04-16 23:39:20.660 +1000,
39,abud,abundance,39,2023-04-16 23:39:20.660 +1000,
40,pres,presence,2,2023-04-16 23:39:20.660 +1000,
41,abs,absence,2,2023-04-16 23:39:20.660 +1000,
