"VARUNITID","VARUNIT","CREATED_AT","UPDATED_AT"
121,"valves/ml","2024-04-12 12:48:35.652 +0200",NA
122,"Pt-Co","2024-04-12 12:48:35.652 +0200",NA
124,"μmol/L","2024-04-12 12:48:35.652 +0200",NA
125,"κ (SI) × 10^-5","2024-04-12 12:48:35.652 +0200",NA
126,"concentration","2024-04-12 12:48:35.652 +0200",NA
129,"mm^2/cm^2/yr","2024-04-12 12:48:35.652 +0200",NA
130,"grains/cm^2*yr","2024-04-12 12:48:35.652 +0200",NA
131,"NISP+","2024-04-12 12:48:35.652 +0200",NA
132,"Unit","2024-04-12 12:48:35.652 +0200",NA
133,"µS/cm 25°C","2024-04-12 12:48:35.652 +0200",NA
134,"µg/L","2024-04-12 12:48:35.652 +0200",NA
135,"units","2024-04-12 12:48:35.652 +0200",NA
136,"µS/cm","2024-04-12 12:48:35.652 +0200",NA
137,"mmol/L","2024-04-12 12:48:35.652 +0200",NA
138,"µeq/L","2024-04-12 12:48:35.652 +0200",NA
139,"Index","2024-04-12 12:48:35.652 +0200",NA
140,"umol/L","2024-04-12 12:48:35.652 +0200",NA
141,"cm^2/cm^3","2024-04-12 12:48:35.652 +0200",NA
142,"C°","2024-04-12 12:48:35.652 +0200",NA
144,"SD","2024-04-12 12:48:35.652 +0200",NA
146,">2 mm","2024-04-12 12:48:35.652 +0200",NA
147,">5 mm","2024-04-12 12:48:35.652 +0200",NA
148,"fragment","2024-04-12 12:48:35.652 +0200",NA
149,">1 mm","2024-04-12 12:48:35.652 +0200",NA
150,"per mille VPDB","2024-04-12 12:48:35.652 +0200",NA
151,"per mille air N","2024-04-12 12:48:35.652 +0200",NA
152,"mg/ml","2024-04-12 12:48:35.652 +0200",NA
153,"particles/cm^3","2024-04-12 12:48:35.652 +0200",NA
154,"cm^2/yr","2024-04-12 12:48:35.652 +0200",NA
155,"per mille VPDB/17O","2024-04-12 12:48:35.652 +0200",NA
156,"atomic ratio","2024-04-12 12:48:35.652 +0200",NA
157,"mg/100 mg","2024-04-12 12:48:35.652 +0200",NA
158,"per mille VSMOV","2024-04-12 12:48:35.652 +0200",NA
159,"error","2024-04-12 12:48:35.652 +0200",NA
160,">10 mm","2024-04-12 12:48:35.652 +0200",NA
161,"mm^3/cm^3","2024-04-12 12:48:35.652 +0200",NA
162,"number/tablet","2024-04-12 12:48:35.652 +0200",NA
163,"mg/g","2024-04-12 12:48:35.652 +0200",NA
164,"m^2","2024-04-12 12:48:35.652 +0200",NA
165,"present","2024-04-12 12:48:35.652 +0200",NA
166,"SI","2024-04-12 12:48:35.652 +0200",NA
167,"µS/cm 25C","2024-04-12 12:48:35.652 +0200",NA
168,"cc","2024-04-12 12:48:35.652 +0200",NA
169,"mg/kg","2024-04-12 12:48:35.652 +0200",NA
170,"per mil, PDB","2024-04-12 12:48:35.652 +0200",NA
171,"per mil, air","2024-04-12 12:48:35.652 +0200",NA
172,"percent dry weight","2024-04-12 12:48:35.652 +0200",NA
173,"µg/kg","2024-04-12 12:48:35.652 +0200",NA
174,"Mean uM","2024-04-12 12:48:35.652 +0200",NA
175,"uM","2024-04-12 12:48:35.652 +0200",NA
176,"μS/cm25°C","2024-04-12 12:48:35.652 +0200",NA
177,"fragments/l","2024-04-12 12:48:35.652 +0200",NA
178,"particles/l","2024-04-12 12:48:35.652 +0200",NA
179,"NISP/tablet","2024-04-12 12:48:35.652 +0200",NA
180,"grains/cm²/yr","2024-04-12 12:48:35.652 +0200",NA
181,"moisture weight %","2024-04-12 12:48:35.652 +0200",NA
182,"particles","2024-04-12 12:48:35.652 +0200",NA
183,"count","2024-04-12 12:48:35.652 +0200",NA
184,"class","2024-04-12 12:48:35.652 +0200",NA
185,"volume-percent","2024-04-12 12:48:35.652 +0200",NA
186,"mm2","2024-04-12 12:48:35.652 +0200",NA
187,"cm3","2024-04-12 12:48:35.652 +0200",NA
188,"mm/year","2024-04-12 12:48:35.652 +0200",NA
189,"promil","2024-04-12 12:48:35.652 +0200",NA
190,"MS (SI)","2024-04-12 12:48:35.652 +0200",NA
191,"#/cm2/a","2024-04-12 12:48:35.652 +0200",NA
192,"#/cm3","2024-04-12 12:48:35.652 +0200",NA
193,"#/g","2024-04-12 12:48:35.652 +0200",NA
194,"#","2024-04-12 12:48:35.652 +0200",NA
195,"#/cc","2024-04-12 12:48:35.652 +0200",NA
196,"#/cm2/kyr","2024-04-12 12:48:35.652 +0200",NA
197,"% dry wt","2024-04-12 12:48:35.652 +0200",NA
198,"cps","2024-04-12 12:48:35.652 +0200",NA
199,"grains/cm3","2024-04-12 12:48:35.652 +0200",NA
200,"particles/cm²/yr","2024-04-12 12:48:35.652 +0200",NA
201,"g/L","2024-04-12 12:48:35.652 +0200",NA
202,"cm²","2024-04-12 12:48:35.652 +0200",NA
203,"g/cm3","2024-04-12 12:48:35.652 +0200",NA
204,"g/cm2","2024-04-12 12:48:35.652 +0200",NA
205,"pCi/g","2024-04-12 12:48:35.652 +0200",NA
206,"Bg/g","2024-04-12 12:48:35.652 +0200",NA
207,"Bg/kg","2024-04-12 12:48:35.652 +0200",NA
208,"dpm/g","2024-04-12 12:48:35.652 +0200",NA
209,"g/cm2/yr","2024-04-12 12:48:35.652 +0200",NA
210,"g/m2/yr","2024-04-12 12:48:35.652 +0200",NA
211,"kg/m2/yr","2024-04-12 12:48:35.652 +0200",NA
212,"μm^2","2024-04-12 12:48:35.652 +0200",NA
213,"grains/cm^3","2024-04-12 12:48:35.652 +0200",NA
214,"presence/absence","2024-04-12 12:48:35.652 +0200",NA
215,"#/tablet","2024-04-12 12:48:35.652 +0200",NA
216,"grains/cc","2024-04-12 12:48:35.652 +0200",NA
217,"count of reads","2024-04-12 12:48:35.652 +0200",NA
218,"count of PCR replicates","2024-04-12 12:48:35.652 +0200",NA
219,"spores/tablet","2024-04-12 12:48:35.652 +0200",NA
220,"cm/yr","2024-04-12 12:48:35.652 +0200",NA
221,"presence/abence","2024-04-12 12:48:35.652 +0200",NA
222,"cyst/cm2/yr","2024-04-12 12:48:35.652 +0200",NA
223,"cysts/g","2024-04-12 12:48:35.652 +0200",NA
224,"presence","2024-04-12 12:48:35.652 +0200",NA
225,"µS/cm at 25°C","2024-04-12 12:48:35.652 +0200",NA
226,"%","2024-04-12 12:48:35.652 +0200",NA
227,"%","2024-04-12 12:48:35.652 +0200",NA
228,"%","2024-04-12 12:48:35.652 +0200",NA
229,"g/cc","2024-04-12 12:48:35.652 +0200",NA
230,"%","2024-04-12 12:48:35.652 +0200",NA
231,"µl","2024-04-12 12:48:35.652 +0200",NA
232,"µm","2024-04-12 12:48:35.652 +0200",NA
233,"grain/cm3","2024-04-12 12:48:35.652 +0200",NA
234,"E-08 m3/kg","2024-04-12 12:48:35.652 +0200",NA
