COL_MTDID,COL_MTD,CREATED_AT,UPDATED_AT,PARENTID
-9999,ND,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:55.640 +1000,-9999
1,Auger,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:56.040 +1000,1
2,Block,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:56.351 +1000,2
3,Core,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:56.659 +1000,3
4,Downhole Tube,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:56.963 +1000,6
5,Excavated,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:57.264 +1000,5
6,Tube,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:57.565 +1000,6
7,Other,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:57.867 +1000,7
8,InSitu,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:58.169 +1000,8
9,Sieve,2021-11-19 22:11:05.011 +1100,2023-04-18 17:42:58.468 +1000,9
10,Grab sample,2023-04-18 17:35:53.347 +1000,2023-04-18 17:42:58.770 +1000,10
11,Composite sample,2023-04-18 17:37:55.103 +1000,2023-04-18 17:42:59.071 +1000,10
12,Van Veen grab sampler,2023-04-18 17:37:55.402 +1000,2023-04-18 17:42:59.374 +1000,10
13,Casq corer,2023-04-18 17:37:55.703 +1000,2023-04-18 17:42:59.675 +1000,3
14,Russian corer,2023-04-18 17:37:56.002 +1000,2023-04-18 17:42:59.976 +1000,3
15,Wardenaar corer,2023-04-18 17:37:56.302 +1000,2023-04-18 17:43:00.277 +1000,3
16,Freeze corer,2023-04-18 17:37:56.604 +1000,2023-04-18 17:43:00.579 +1000,3
17,Gravity corer,2023-04-18 17:37:56.905 +1000,2023-04-18 17:43:00.881 +1000,3
18,Percussion corer,2023-04-18 17:37:57.204 +1000,2023-04-18 17:43:01.182 +1000,3
19,Piston corer,2023-04-18 17:37:57.503 +1000,2023-04-18 17:43:01.484 +1000,3
20,D-section corer,2023-04-18 17:37:57.803 +1000,2023-04-18 17:43:01.785 +1000,14
21,Vibro corer,2023-04-18 17:37:58.105 +1000,2023-04-18 17:43:02.087 +1000,3
22,Box corer,2023-04-18 17:37:58.404 +1000,2023-04-18 17:43:02.389 +1000,3
23,Reineck box corer,2023-04-18 17:37:58.704 +1000,2023-04-18 17:43:02.690 +1000,22
24,USNEL box corer,2023-04-18 17:37:59.004 +1000,2023-04-18 17:43:02.992 +1000,22
25,Grab sample amalgamated,2023-04-18 17:43:39.631 +1000,2023-04-18 17:43:39.631 +1000,10
26,Colinvaux-Vohnout piston corer,2023-09-26 21:14:23.880 +1000,,19
27,Dachnowski corer,2023-09-26 21:14:23.880 +1000,,3
28,Eijkelkamp corer,2023-09-26 21:14:23.880 +1000,,3
29,Freeze corer,2023-09-26 21:14:23.880 +1000,,3
30,Glew gravity corer,2023-09-26 21:14:23.880 +1000,,17
31,Hiller peat corer,2023-09-26 21:14:23.880 +1000,,3
32,Kullenberg piston corer,2023-09-26 21:14:23.880 +1000,,19
33,Livingstone piston corer,2023-09-26 21:14:23.880 +1000,,19
34,PVC tube,2023-09-26 21:14:23.880 +1000,,6
35,Square rod piston corer,2023-09-26 21:14:23.880 +1000,,19
36,Streif-Livingstone piston corer,2023-09-26 21:14:23.880 +1000,2023-09-26 21:14:57.675 +1000,33
37,Usinger piston corer,2023-09-26 21:14:23.880 +1000,,19
38,Vallentyne piston corer,2023-09-26 21:14:23.880 +1000,2023-09-26 21:15:10.852 +1000,33
39,Wright square-rod piston corer,2023-09-26 21:14:23.880 +1000,2023-09-26 21:15:24.769 +1000,35
40,Monolith,2023-11-15 05:46:25.316 +1100,2023-11-15 05:46:25.316 +1100,2
41,Hydraulic corer,2023-11-15 05:47:05.143 +1100,2023-11-15 05:47:05.143 +1100,3
