"ELEMTYPEID","ELEMENTYPE","DATASRCID","CREATED_AT","UPDATED_AT"
173,"910°C",10,"2024-04-12 14:01:54.970 +0200",NA
174,"915°C",10,"2024-04-12 14:01:54.970 +0200",NA
175,"925°C",10,"2024-04-12 14:01:54.970 +0200",NA
176,"950°C",10,"2024-04-12 14:01:54.970 +0200",NA
177,"anther",10,"2024-04-12 14:01:54.970 +0200",NA
178,"hyphae",10,"2024-04-12 14:01:54.970 +0200",NA
179,"Jorgensen method",10,"2024-04-12 14:01:54.970 +0200",NA
180,"kernel",10,"2024-04-12 14:01:54.970 +0200",NA
181,"leaf hair",10,"2024-04-12 14:01:54.970 +0200",NA
182,"bill",10,"2024-04-12 14:01:54.970 +0200",NA
183,"quantity added",10,"2024-04-12 14:01:54.970 +0200",NA
184,"ratio",10,"2024-04-12 14:01:54.970 +0200",NA
186,"leaf spine",10,"2024-04-12 14:01:54.970 +0200",NA
187,"bone/bill",10,"2024-04-12 14:01:54.970 +0200",NA
188,"scute",10,"2024-04-12 14:01:54.970 +0200",NA
189,"bone/plastron",10,"2024-04-12 14:01:54.970 +0200",NA
190,"bone/shell",10,"2024-04-12 14:01:54.970 +0200",NA
191,"suberized basal cells",10,"2024-04-12 14:01:54.970 +0200",NA
192,"seed",10,"2024-04-12 14:01:54.970 +0200",NA
194,"bone/tooth/scale",10,"2024-04-12 14:01:54.970 +0200",NA
195,"bone/tooth/shell",10,"2024-04-12 14:01:54.970 +0200",NA
196,"Lycopodium method",10,"2024-04-12 14:01:54.970 +0200",NA
197,"macrobotanical",10,"2024-04-12 14:01:54.970 +0200",NA
198,"carbonates",10,"2024-04-12 14:01:54.970 +0200",NA
199,"massula",10,"2024-04-12 14:01:54.970 +0200",NA
205,"cob",10,"2024-04-12 14:01:54.970 +0200",NA
206,"concentration",10,"2024-04-12 14:01:54.970 +0200",NA
207,"counted",10,"2024-04-12 14:01:54.970 +0200",NA
209,"cyst",10,"2024-04-12 14:01:54.970 +0200",NA
210,"dentary",10,"2024-04-12 14:01:54.970 +0200",NA
211,"dry mass",10,"2024-04-12 14:01:54.970 +0200",NA
212,"dry mass examined",10,"2024-04-12 14:01:54.970 +0200",NA
213,"dry mass prepared",10,"2024-04-12 14:01:54.970 +0200",NA
215,"egg shell",10,"2024-04-12 14:01:54.970 +0200",NA
216,"Eucalyptus method",10,"2024-04-12 14:01:54.970 +0200",NA
218,"megaspore",10,"2024-04-12 14:01:54.970 +0200",NA
221,"glochidia",10,"2024-04-12 14:01:54.970 +0200",NA
222,"glume",10,"2024-04-12 14:01:54.970 +0200",NA
224,"spermatophore",10,"2024-04-12 14:01:54.970 +0200",NA
225,"microsphere method",10,"2024-04-12 14:01:54.970 +0200",NA
226,"organic matter",10,"2024-04-12 14:01:54.970 +0200",NA
227,"spicule",10,"2024-04-12 14:01:54.970 +0200",NA
228,"stalk fiber",10,"2024-04-12 14:01:54.970 +0200",NA
229,"stomate",10,"2024-04-12 14:01:54.970 +0200",NA
230,"test",10,"2024-04-12 14:01:54.970 +0200",NA
231,"trichome",10,"2024-04-12 14:01:54.970 +0200",NA
232,"plastron",10,"2024-04-12 14:01:54.970 +0200",NA
233,"twig",10,"2024-04-12 14:01:54.970 +0200",NA
234,"umbone",10,"2024-04-12 14:01:54.970 +0200",NA
235,"volume",10,"2024-04-12 14:01:54.970 +0200",NA
236,"volume examined",10,"2024-04-12 14:01:54.970 +0200",NA
237,"xiphiplastron",10,"2024-04-12 14:01:54.970 +0200",NA
238,"zygospore",10,"2024-04-12 14:01:54.970 +0200",NA
239,"elytron",10,"2024-04-12 14:01:54.970 +0200",NA
240,"head",10,"2024-04-12 14:01:54.970 +0200",NA
241,"puparium",10,"2024-04-12 14:01:54.970 +0200",NA
242,"thorax",10,"2024-04-12 14:01:54.970 +0200",NA
243,"wing",10,"2024-04-12 14:01:54.970 +0200",NA
244,"spine",10,"2024-04-12 14:01:54.970 +0200",NA
245,"megastrobilus",10,"2024-04-12 14:01:54.970 +0200",NA
246,"needle",10,"2024-04-12 14:01:54.970 +0200",NA
247,"acorn cup",10,"2024-04-12 14:01:54.970 +0200",NA
248,"ament bract",10,"2024-04-12 14:01:54.970 +0200",NA
249,"coenobium",10,"2024-04-12 14:01:54.970 +0200",NA
250,"colony",10,"2024-04-12 14:01:54.970 +0200",NA
251,"achene",10,"2024-04-12 14:01:54.970 +0200",NA
252,"acorn",10,"2024-04-12 14:01:54.970 +0200",NA
253,"bark",10,"2024-04-12 14:01:54.970 +0200",NA
254,"bulbil",10,"2024-04-12 14:01:54.970 +0200",NA
255,"stem",10,"2024-04-12 14:01:54.970 +0200",NA
256,"bud scale",10,"2024-04-12 14:01:54.970 +0200",NA
258,"coracoid",10,"2024-04-12 14:01:54.970 +0200",NA
259,"tooth, caniform",10,"2024-04-12 14:01:54.970 +0200",NA
261,"tooth, second molariform",10,"2024-04-12 14:01:54.970 +0200",NA
262,"tooth, fifth molariform",10,"2024-04-12 14:01:54.970 +0200",NA
263,"tooth, fourth molariform",10,"2024-04-12 14:01:54.970 +0200",NA
264,"tooth, third molariform",10,"2024-04-12 14:01:54.970 +0200",NA
265,"metacarpal, third",10,"2024-04-12 14:01:54.970 +0200",NA
266,"metacarpal, second",10,"2024-04-12 14:01:54.970 +0200",NA
267,"metacarpal, first",10,"2024-04-12 14:01:54.970 +0200",NA
268,"cranium",10,"2024-04-12 14:01:54.970 +0200",NA
269,"navicular-cuboid, cuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
271,"navicular-cuboid",10,"2024-04-12 14:01:54.970 +0200",NA
272,"patella",10,"2024-04-12 14:01:54.970 +0200",NA
273,"metacarpal, fifth",10,"2024-04-12 14:01:54.970 +0200",NA
274,"metacarpal, fourth",10,"2024-04-12 14:01:54.970 +0200",NA
275,"metatarsal, fifth",10,"2024-04-12 14:01:54.970 +0200",NA
276,"metatarsal, fourth",10,"2024-04-12 14:01:54.970 +0200",NA
277,"metatarsal, second",10,"2024-04-12 14:01:54.970 +0200",NA
278,"metatarsal, third",10,"2024-04-12 14:01:54.970 +0200",NA
279,"sacrum",10,"2024-04-12 14:01:54.970 +0200",NA
280,"stump",10,"2024-04-12 14:01:54.970 +0200",NA
281,"frustule",10,"2024-04-12 14:01:54.970 +0200",NA
282,"wood",10,"2024-04-12 14:01:54.970 +0200",NA
283,"pedal ungual, pes, digit 2",10,"2024-04-12 14:01:54.970 +0200",NA
284,"pedal ungual, pes, digit 4",10,"2024-04-12 14:01:54.970 +0200",NA
285,"rib, posterior",10,"2024-04-12 14:01:54.970 +0200",NA
286,"vertebra, thoracic 17",10,"2024-04-12 14:01:54.970 +0200",NA
287,"vertebra, thoracic 18",10,"2024-04-12 14:01:54.970 +0200",NA
288,"vertebra, lumbar 1",10,"2024-04-12 14:01:54.970 +0200",NA
289,"vertebra, thoracic 1",10,"2024-04-12 14:01:54.970 +0200",NA
290,"leaf",10,"2024-04-12 14:01:54.970 +0200",NA
291,"cyst (reticulate)",10,"2024-04-12 14:01:54.970 +0200",NA
292,"hystrichosphere cyst",10,"2024-04-12 14:01:54.970 +0200",NA
293,"aedeagus",10,"2024-04-12 14:01:54.970 +0200",NA
294,"pronotum",10,"2024-04-12 14:01:54.970 +0200",NA
295,"hemelytra",10,"2024-04-12 14:01:54.970 +0200",NA
296,"sternite",10,"2024-04-12 14:01:54.970 +0200",NA
297,"seed wing",10,"2024-04-12 14:01:54.970 +0200",NA
298,"stylohyoid",10,"2024-04-12 14:01:54.970 +0200",NA
299,"thyrohyoid",10,"2024-04-12 14:01:54.970 +0200",NA
300,"microstrobilus",10,"2024-04-12 14:01:54.970 +0200",NA
301,"megastrobilus bract",10,"2024-04-12 14:01:54.970 +0200",NA
302,"megastrobilus scale",10,"2024-04-12 14:01:54.970 +0200",NA
303,"bud",10,"2024-04-12 14:01:54.970 +0200",NA
304,"samara",10,"2024-04-12 14:01:54.970 +0200",NA
305,"fruit",10,"2024-04-12 14:01:54.970 +0200",NA
306,"bract",10,"2024-04-12 14:01:54.970 +0200",NA
307,"microsporangium",10,"2024-04-12 14:01:54.970 +0200",NA
308,"shoot, no needles",10,"2024-04-12 14:01:54.970 +0200",NA
309,"shoot, with needles",10,"2024-04-12 14:01:54.970 +0200",NA
310,"bract/fruit",10,"2024-04-12 14:01:54.970 +0200",NA
311,"needle/seed",10,"2024-04-12 14:01:54.970 +0200",NA
312,"bud scale/microstrobilus",10,"2024-04-12 14:01:54.970 +0200",NA
313,"bud scale/needle",10,"2024-04-12 14:01:54.970 +0200",NA
314,"microstrobilus/needle/twig",10,"2024-04-12 14:01:54.970 +0200",NA
315,"oospore",10,"2024-04-12 14:01:54.970 +0200",NA
316,"silique",10,"2024-04-12 14:01:54.970 +0200",NA
317,"<50 µm",10,"2024-04-12 14:01:54.970 +0200",NA
318,"ephippium",10,"2024-04-12 14:01:54.970 +0200",NA
319,"unknown",10,"2024-04-12 14:01:54.970 +0200",NA
320,"unspecified",10,"2024-04-12 14:01:54.970 +0200",NA
321,"entocuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
322,"ectomesocuneiform",10,"2024-04-12 14:01:54.970 +0200",NA
323,"tooth, deciduous molar",10,"2024-04-12 14:01:54.970 +0200",NA
324,"phalanx",10,"2024-04-12 14:01:54.970 +0200",NA
325,"sternebra",10,"2024-04-12 14:01:54.970 +0200",NA
326,"petrosal",10,"2024-04-12 14:01:54.970 +0200",NA
327,"cubonavicular",10,"2024-04-12 14:01:54.970 +0200",NA
328,"endocarp/bark",10,"2024-04-12 14:01:54.970 +0200",NA
329,"floret",10,"2024-04-12 14:01:54.970 +0200",NA
330,"hook",10,"2024-04-12 14:01:54.970 +0200",NA
331,"leaf/fruit",10,"2024-04-12 14:01:54.970 +0200",NA
332,"leaf/hooks",10,"2024-04-12 14:01:54.970 +0200",NA
333,"leaf/phyllaries",10,"2024-04-12 14:01:54.970 +0200",NA
334,"leaf/pod",10,"2024-04-12 14:01:54.970 +0200",NA
335,"nutlet",10,"2024-04-12 14:01:54.970 +0200",NA
336,"nutshell",10,"2024-04-12 14:01:54.970 +0200",NA
337,"seed/twig",10,"2024-04-12 14:01:54.970 +0200",NA
339,"carpel",10,"2024-04-12 14:01:54.970 +0200",NA
340,"leaf/leaf margin",10,"2024-04-12 14:01:54.970 +0200",NA
341,"clypeus",10,"2024-04-12 14:01:54.970 +0200",NA
342,"frontoclypeal apotome",10,"2024-04-12 14:01:54.970 +0200",NA
343,"tergite",10,"2024-04-12 14:01:54.970 +0200",NA
344,"endocarp",10,"2024-04-12 14:01:54.970 +0200",NA
345,"flower",10,"2024-04-12 14:01:54.970 +0200",NA
346,"exospore",10,"2024-04-12 14:01:54.970 +0200",NA
347,"fragment",10,"2024-04-12 14:01:54.970 +0200",NA
348,"area",10,"2024-04-12 14:01:54.970 +0200",NA
349,"seed/nutshell",10,"2024-04-12 14:01:54.970 +0200",NA
350,">10 µm",10,"2024-04-12 14:01:54.970 +0200",NA
351,"scale",10,"2024-04-12 14:01:54.970 +0200",NA
352,"sphenotic",10,"2024-04-12 14:01:54.970 +0200",NA
353,"sternum",10,"2024-04-12 14:01:54.970 +0200",NA
354,"125-250 µm",10,"2024-04-12 14:01:54.970 +0200",NA
355,">250 µm",10,"2024-04-12 14:01:54.970 +0200",NA
356,"frontoclypeus",10,"2024-04-12 14:01:54.970 +0200",NA
357,"needle, semicircular",10,"2024-04-12 14:01:54.970 +0200",NA
358,"puparia",10,"2024-04-12 14:01:54.970 +0200",NA
359,"seed, trigonous",10,"2024-04-12 14:01:54.970 +0200",NA
360,"seed coat",10,"2024-04-12 14:01:54.970 +0200",NA
361,">8 µm",10,"2024-04-12 14:01:54.970 +0200",NA
362,"head capsule",10,"2024-04-12 14:01:54.970 +0200",NA
363,"abdominal segment",10,"2024-04-12 14:01:54.970 +0200",NA
364,"exoskeleton",10,"2024-04-12 14:01:54.970 +0200",NA
365,"larval head capsule",10,"2024-04-12 14:01:54.970 +0200",NA
366,"puparium fragment",10,"2024-04-12 14:01:54.970 +0200",NA
367,"scutellum",10,"2024-04-12 14:01:54.970 +0200",NA
368,"sternites",10,"2024-04-12 14:01:54.970 +0200",NA
369,"pod",10,"2024-04-12 14:01:54.970 +0200",NA
370,"capule",10,"2024-04-12 14:01:54.970 +0200",NA
371,"capsule",10,"2024-04-12 14:01:54.970 +0200",NA
372,"oogonia",10,"2024-04-12 14:01:54.970 +0200",NA
373,"leaf/stem",10,"2024-04-12 14:01:54.970 +0200",NA
374,"statoblast",10,"2024-04-12 14:01:54.970 +0200",NA
375,"vertebra, thoracic, first",10,"2024-04-12 14:01:54.970 +0200",NA
376,"larval mandibles",10,"2024-04-12 14:01:54.970 +0200",NA
377,"fragments",10,"2024-04-12 14:01:54.970 +0200",NA
378,"leg",10,"2024-04-12 14:01:54.970 +0200",NA
379,"tarsometatarsus",10,"2024-04-12 14:01:54.970 +0200",NA
380,"tibiotarsus",10,"2024-04-12 14:01:54.970 +0200",NA
381,"tooth, first molariform",10,"2024-04-12 14:01:54.970 +0200",NA
382,"tooth, molariform",10,"2024-04-12 14:01:54.970 +0200",NA
383,"<125 µm",10,"2024-04-12 14:01:54.970 +0200",NA
384,"<100 µm",10,"2024-04-12 14:01:54.970 +0200",NA
385,"metasternum",10,"2024-04-12 14:01:54.970 +0200",NA
386,"wood, diffuse porous",10,"2024-04-12 14:01:54.970 +0200",NA
387,"wood, ring porous",10,"2024-04-12 14:01:54.970 +0200",NA
388,"radius/ulna",10,"2024-04-12 14:01:54.970 +0200",NA
389,"radius-ulna",10,"2024-04-12 14:01:54.970 +0200",NA
390,"involucre",10,"2024-04-12 14:01:54.970 +0200",NA
391,"mesonotum",10,"2024-04-12 14:01:54.970 +0200",NA
392,"metanotum",10,"2024-04-12 14:01:54.970 +0200",NA
393,"tissue",10,"2024-04-12 14:01:54.970 +0200",NA
394,"spikelet",10,"2024-04-12 14:01:54.970 +0200",NA
395,"perianth",10,"2024-04-12 14:01:54.970 +0200",NA
396,"mesocarp",10,"2024-04-12 14:01:54.970 +0200",NA
397,"rachis",10,"2024-04-12 14:01:54.970 +0200",NA
398,"sheath",10,"2024-04-12 14:01:54.970 +0200",NA
399,"schizocarp",10,"2024-04-12 14:01:54.970 +0200",NA
400,"nut",10,"2024-04-12 14:01:54.970 +0200",NA
401,"calyx",10,"2024-04-12 14:01:54.970 +0200",NA
402,"calyx, with seed",10,"2024-04-12 14:01:54.970 +0200",NA
403,"fruit/seed",10,"2024-04-12 14:01:54.970 +0200",NA
404,"involucre, with nut",10,"2024-04-12 14:01:54.970 +0200",NA
405,"female ovipositor/male genitalia",10,"2024-04-12 14:01:54.970 +0200",NA
406,"nymph",10,"2024-04-12 14:01:54.970 +0200",NA
407,"ovipositor",10,"2024-04-12 14:01:54.970 +0200",NA
408,"fruit scale",10,"2024-04-12 14:01:54.970 +0200",NA
409,"30-100 µm",10,"2024-04-12 14:01:54.970 +0200",NA
412,"long bone",10,"2024-04-12 14:01:54.970 +0200",NA
413,"basipterygium",10,"2024-04-12 14:01:54.970 +0200",NA
414,"caudal bony plate",10,"2024-04-12 14:01:54.970 +0200",NA
415,"cleithrum",10,"2024-04-12 14:01:54.970 +0200",NA
416,"epihyal",10,"2024-04-12 14:01:54.970 +0200",NA
417,"epiotic",10,"2024-04-12 14:01:54.970 +0200",NA
418,"head-angular",10,"2024-04-12 14:01:54.970 +0200",NA
419,"hypohyal 1",10,"2024-04-12 14:01:54.970 +0200",NA
420,"interopercle",10,"2024-04-12 14:01:54.970 +0200",NA
421,"lingual plate",10,"2024-04-12 14:01:54.970 +0200",NA
422,"mesocoracoid",10,"2024-04-12 14:01:54.970 +0200",NA
