JOURNALID,JOURNAL,JOURNALABB,PRINT_ISSN,ONLIN_ISSN,CREATED_AT,UPDATED_AT
44,Water Resources Research,Water_Resour_Res,0043-1397,1944-7973,2021-11-19 22:11:05.011 +1100,
45,Zeitschrift für Geomorphologie,Z_Geomorphol,0372-8854,1864-1687,2021-11-19 22:11:05.011 +1100,
46,Alcheringa: An Australasian Journal of Palaeontology,Alcheringa,0311-5518,1752-0754,2021-11-19 22:11:05.011 +1100,
47,Ancient TL,Ancient_TL,,2693-0935,2021-11-19 22:11:05.011 +1100,
48,Annals of Geophysics,Ann_Geophys-Italy,,2037-416X,2021-11-19 22:11:05.011 +1100,
49,Anthropological papers of the AMNH,Anthropol_Pap_Am_Mus,,,2021-11-19 22:11:05.011 +1100,
50,Antiquity,Antiquity,0003-598X,1745-1744,2021-11-19 22:11:05.011 +1100,
51,Archaeology and Physical Anthropology in Oceania,Archaeol_Phys_Anthropol_Oceania,,0003-8121,2021-11-19 22:11:05.011 +1100,
52,Archaeology in Oceania,Archaeol_Ocean,0728-4896,1834-4453,2021-11-19 22:11:05.011 +1100,
53,Archaeometry,Archaeometry,0003-813X,1475-4754,2021-11-19 22:11:05.011 +1100,
54,Austral Ecology,Austral_Ecol,1442-9985,1442-9993,2021-11-19 22:11:05.011 +1100,
55,Australian Aboriginal Studies,Aust_Aborig_Stud,,0729-4352,2021-11-19 22:11:05.011 +1100,
56,Australian Archaeology,Aust_Archaeol,0312-2417,2470-0363,2021-11-19 22:11:05.011 +1100,
57,Australian Geographer,Aust_Geogr,0004-9182,1465-3311,2021-11-19 22:11:05.011 +1100,
58,Australian Journal of Botany,Aust_J_Bot,0067-1924,1444-9862,2021-11-19 22:11:05.011 +1100,
59,Australian Journal of Earth Sciences,Aust_J_Earth_Sci,0812-0099,1440-0952,2021-11-19 22:11:05.011 +1100,
60,The Australian Journal of Science,Aust_J_Sci,,0365-3668,2021-11-19 22:11:05.011 +1100,
61,Australian Zoologist,Aust_Zool,0067-2238,2204-2105,2021-11-19 22:11:05.011 +1100,
62,Biology Letters,Biology_Lett,1744-957X,1744-9561,2021-11-19 22:11:05.011 +1100,
63,Boreas,Boreas,,1502-3885,2021-11-19 22:11:05.011 +1100,
64,Bulletin of the Indo-Pacific Prehistory Association,Bull_Indo_Pac_Pre_Hi,0156-1316,1835-1794,2021-11-19 22:11:05.011 +1100,
65,Cambridge Archaeological Journal,Camb_Archaeol_J,0959-7743,1474-0540,2021-11-19 22:11:05.011 +1100,
66,Catena,Catena,0341-8162,1872-6887,2021-11-19 22:11:05.011 +1100,
67,Chemical Geology: Isotope Geoscience section,Chem_Geol,0168-9622,1878-5999,2021-11-19 22:11:05.011 +1100,
68,Climate of the Past,Clim_Past,1814-9324,1814-9332,2021-11-19 22:11:05.011 +1100,
69,Geoarchaeology,Geoarchaeology,0883-6353,1520-6548,2021-11-19 22:11:05.011 +1100,
70,"Geochemistry: Exploration, Environment, Analysis",Geochem_Explor_Env_A,1467-7873,2041-4943,2021-11-19 22:11:05.011 +1100,
71,Geologische Rundschau,Geol_Rundsch,0016-7835,1432-1149,2021-11-19 22:11:05.011 +1100,
72,Geosciences Journal,Geosci_J,1226-4806,1598-7477,2021-11-19 22:11:05.011 +1100,
73,Helicite,Helicite,,0017-9973,2021-11-19 22:11:05.011 +1100,
74,Journal of Anthropological Archaeology,J_Anthropol_Archaeol,0278-4165,1090-2686,2021-11-19 22:11:05.011 +1100,
75,Journal of Archaeological Science,J_Archaeol_Sci,0305-4403,1095-9238,2021-11-19 22:11:05.011 +1100,
76,Journal of Arid Environments,J_Arid_Environ,0140-1963,1095-922X,2021-11-19 22:11:05.011 +1100,
77,Journal of Biogeography,J_Biogeogr,0305-0270,1365-2699,2021-11-19 22:11:05.011 +1100,
78,Journal of Geochemical Exploration,J_Geochem_Explor,0375-6742,1879-1689,2021-11-19 22:11:05.011 +1100,
79,Journal of Pacific Archaeology,J_Pac_Archaeol,1179-4704,1179-4712,2021-11-19 22:11:05.011 +1100,
80,Journal of Quaternary Science,J_Quaternary_Sci,0267-8179,1099-1417,2021-11-19 22:11:05.011 +1100,
81,Journal of Soil Science,J_Soil_Sci,0022-4588,2056-5240,2021-11-19 22:11:05.011 +1100,
82,Journal of Systematic Palaeontology,J_Syst_Palaeontol,1477-2019,1478-0941,2021-11-19 22:11:05.011 +1100,
83,Journal of the Geological Society of Australia,J_Geol_Soc_Aust,,0016-7614,2021-11-19 22:11:05.011 +1100,
84,Journal of the Geological Society of Queensland,J_Geol_Soc_Qld,,,2021-11-19 22:11:05.011 +1100,
85,Journal of the Royal Society of Western Australia,J_Roy_Soc_West_Aust,,0035-922X,2021-11-19 22:11:05.011 +1100,
86,Mankind,Mankind,,,2021-11-19 22:11:05.011 +1100,
87,Marine & Freshwater Research,Mar_Freshwater_Res,1323-1650,1448-6059,2021-11-19 22:11:05.011 +1100,
88,Memoirs of the National Museum of Victoria,Mem_Museum_Vic,,0083-5986,2021-11-19 22:11:05.011 +1100,
89,Memoirs of the Queensland Museum / NATURE,Mem_Qld_Museum_Nature,0079-8835,2204-1478,2021-11-19 22:11:05.011 +1100,
90,MESA Journal,Mesa_Journal,1326-3544,2207-2152,2021-11-19 22:11:05.011 +1100,
91,Nature Communications,Nat_Commun,,2041-1723,2021-11-19 22:11:05.011 +1100,
92,New Zealand Journal of Geology and Geophysics,New_Zeal_J_Geol_Geop,0028-8306,1175-8791,2021-11-19 22:11:05.011 +1100,
93,Palaeoclimates: Data and Modelling,Palaeoclimates,,,2021-11-19 22:11:05.011 +1100,
94,Papers and Proceedings of the Royal Society of Tasmania,P_R_Soc_Tasmania,,0080-4703,2021-11-19 22:11:05.011 +1100,
95,Philosophical Transactions of the Royal Society B: Biological Sciences,Philos_T_R_Soc_B,0264-3839,2053-924X,2021-11-19 22:11:05.011 +1100,
96,PLoS ONE,Plos_One,,1932-6203,2021-11-19 22:11:05.011 +1100,
97,Proceedings of the Linnean Society of New South Wales,P_Linn_Soc_NSW,1839-7263,0370-047X,2021-11-19 22:11:05.011 +1100,
98,Proceedings of the National Academy of Sciences,P_Natl_Acad_Sci_USA,0027-8424,1091-6490,2021-11-19 22:11:05.011 +1100,
99,Proceedings of the Prehistoric Society,P_Prehist_Soc,0079-497X,2050-2729,2021-11-19 22:11:05.011 +1100,
100,Proceedings of the Royal Society of Victoria,P_R_Soc_Victoria,0035-9211,2204-1362,2021-11-19 22:11:05.011 +1100,
101,Quaternary Australasia,Quat_Aust,,0811-0433,2021-11-19 22:11:05.011 +1100,
102,Queensland Archaeological Research,Queensland_Archaeol_Res,0814-3021,1839-339X,2021-11-19 22:11:05.011 +1100,
103,Radiation Protection Dosimetry,Radiat_Prot_Dosim,0144-8420,1742-3406,2021-11-19 22:11:05.011 +1100,
104,Radiocarbon,Radiocarbon,0033-8222,1945-5755,2021-11-19 22:11:05.011 +1100,
105,Records of the Australian Museum,Rec_Aust_Mus,0067-1975,2201-4349,2021-11-19 22:11:05.011 +1100,2022-04-27 17:59:49.992 +1000
106,Records of the Queen Victoria Museum Launceston,Rec_Vic_Mus,0085-5278,,2021-11-19 22:11:05.011 +1100,
107,Records of the South Australian Museum,Rec_S_Aust_Mus,0376-2750,,2021-11-19 22:11:05.011 +1100,
108,Records of the Western Australian Museum,Rec_W_Aust_Mus,0312-3162,,2021-11-19 22:11:05.011 +1100,
109,Review of Palaeobotany and Palynology,Rev_Palaeobotany_Palyno,0034-6667,1879-0615,2021-11-19 22:11:05.011 +1100,
110,Search,Search,,0004-9549,2021-11-19 22:11:05.011 +1100,
111,Bulletin of the AMNH,B_Am_Mus_Nat_Hist,0003-0090,1937-3546,2021-11-19 22:11:05.011 +1100,
112,The Geographical Journal,Geogr_J,0016-7398,1475-4959,2021-11-19 22:11:05.011 +1100,
113,The Holocene,Holocene,0959-6836,1477-0911,2021-11-19 22:11:05.011 +1100,
114,Journal of Island and Coastal Archaeology,J_Isl_Coast_Archaeol,1556-4894,1556-1828,2021-11-19 22:11:05.011 +1100,
115,The Western Caver,West_Caver,,,2021-11-19 22:11:05.011 +1100,
116,Transactions of the Royal Society of South Australia,T_Roy_Soc_South_Aust,2204-0293,0372-1426,2021-11-19 22:11:05.011 +1100,
117,Geological Society of America Abstracts,Geol_Soc_Am_Bull_Abstr,,0435-3986,2021-11-19 22:11:05.011 +1100,
118,Archaeological and Anthropological Sciences,Archaeol_Anthrop_Sci,1866-9557,1866-9565,2021-11-19 22:11:05.011 +1100,
119,The Artefact: the Journal of the Archaeological and Anthropological Society of Victoria,Artefact,,,2021-11-19 22:11:05.011 +1100,
120,Asian Perspectives,Asian_Perspect,0066-8435,1535-8283,2021-11-19 22:11:05.011 +1100,
121,Beagle: Records of the Museums and Art Galleries of the Northern Territory,Beagle,,0811-3653,2021-11-19 22:11:05.011 +1100,
122,Journal of Archaeological Method and Theory,J_Archaeol_Method_Th,1072-5369,1573-7764,2021-11-19 22:11:05.011 +1100,
123,Journal of Archaeological Science: Reports,J_Archaeol_Sci_Rep,,2352-409X,2021-11-19 22:11:05.011 +1100,
124,Journal of the Australian Association of Consulting Archaeologists,J_Aust_Assoc_Archaeol,,2202-7890,2021-11-19 22:11:05.011 +1100,
125,Marine Geology,Mar_Geol,,0025-3227,2021-11-19 22:11:05.011 +1100,
126,Memoirs of the Queensland Museum / CULTURE,Mem_Qld_Museum_Culture,1440-4788,,2021-11-19 22:11:05.011 +1100,
127,Oceania,Oceania,,1834-4461,2021-11-19 22:11:05.011 +1100,
128,Papers and Proceedings of the Royal Society of Queensland,P_R_Soc_Queensland,,0080-469X,2021-11-19 22:11:05.011 +1100,
129,Studies in Conservation,Stud_Conserv,0039-3630,2047-0584,2021-11-19 22:11:05.011 +1100,
130,World Archaeology,World_Archaeol,0043-8243,1470-1375,2021-11-19 22:11:05.011 +1100,
131,Acta Geologica Sinica,Acta_Geol_Sin-Engl,,1755-6724,2021-11-19 22:11:05.011 +1100,
132,"Arctic, Antarctic, and Alpine Research",Arct_Antarct_Alp_Res,1523-0430,1938-4246,2021-11-19 22:11:05.011 +1100,
133,"Geografiska Annaler: Series A, Physical Geography",Geogr_Ann_A,0435-3676,1468-0459,2021-11-19 22:11:05.011 +1100,
134,Cuadernos de Investigación Geográfica,Cuadern_Inestig_Geogr,0211-6820,1697-9540,2021-11-19 22:11:05.011 +1100,
135,E&G Quaternary Science Journal,Quaternary_Sci_J,0424-7116,2199-9090,2021-11-19 22:11:05.011 +1100,
136,Antarctic Science,Antarct_Sci,0954-1020,1365-2079,2021-11-19 22:11:05.011 +1100,
137,Annals of Glaciology,Ann_Glaciol,0260-3055,1727-5644,2021-11-19 22:11:05.011 +1100,
138,Arktos,Arktos,2364-9453,2364-9461,2021-11-19 22:11:05.011 +1100,
139,Journal of Geophysical Research: Solid Earth,J_Geophys_Res-Solid,,2169-9356,2021-11-19 22:11:05.011 +1100,
140,"Zeitschrift für Geomorphologie, Supplement Issues",Z_Geomorphol_Supp,,0372-8854,2021-11-19 22:11:05.011 +1100,
141,Austrian Journal of Earth Sciences,Austrian_J_Earth_Sci,,2072-7151,2021-11-19 22:11:05.011 +1100,
142,Acta Universitatis Carolinae Geographica,Acta_U_Carol_Geogr,0300-5402,2336-1980,2021-11-19 22:11:05.011 +1100,
143,Bulletin of Volcanology,B_Volcanol,0258-8900,1432-0819,2021-11-19 22:11:05.011 +1100,
144,Annals of the Association of American Geographers,Ann_Assoc_Am_Geogr,0004-5608,1467-8306,2021-11-19 22:11:05.011 +1100,
145,Journal of Climate,J_Climate,0894-8755,1520-0442,2021-11-19 22:11:05.011 +1100,
146,Cryosphere,The Cryosphere,1994-0416,1994-0424,2021-11-19 22:11:05.011 +1100,
147,Polar Research,Polar_Res,0800-0395,1751-8369,2021-11-19 22:11:05.011 +1100,
148,Geochronometria,Geochronometria,1733-8387,1897-1695,2021-11-19 22:11:05.011 +1100,
149,Global Change Biology,Global_Change_Biol,1354-1013,1365-2486,2021-11-19 22:11:05.011 +1100,
150,Journal of Glaciology and Geocryology,J_Glaciol_Geocryol,,1000-0240,2021-11-19 22:11:05.011 +1100,
151,Eclogae Geologicae Helvetiae,Eclogae_Geol_Helv,,1420-9128,2021-11-19 22:11:05.011 +1100,
152,Quaternary Science Advances,Quaternary_Sci_Adv,,2666-0334,2021-11-19 22:11:05.011 +1100,
153,Polar Science,Polar_Sci,1873-9652,1876-4428,2021-11-19 22:11:05.011 +1100,
154,Archiv für Geschiebekunde,Arch_Geschiebe,,0936-2967,2021-11-19 22:11:05.011 +1100,
155,Bulletin of the National Museum of Japanese History,B_Natl_Mus_Japan,,0286-7400,2021-11-19 22:11:05.011 +1100,
156,Nuclear Instruments and Methods in Physics Research B,Nucl_Instrum_Meth_B,0168-583X,1872-9584,2021-11-19 22:11:05.011 +1100,
157,Canadian Journal of Earth Sciences,Can_J_Earth_Sci,0008-4077,1480-3313,2021-11-19 22:11:05.011 +1100,
158,Cave and Karst Science,Cave_Karst_Sci,,1356-191X,2021-11-19 22:11:05.011 +1100,
159,International Geology Review,Int_Geol_Rev,0020-6814,1938-2839,2021-11-19 22:11:05.011 +1100,
160,Chinese Journal of Polar Science,Chinese_J_Polar_Sci,,1007-7065,2021-11-19 22:11:05.011 +1100,
161,Chinese Science Bulletin,Chinese_Sci_B,1001-6538,1861-9541,2021-11-19 22:11:05.011 +1100,
162,Geographica Helvetica,Geogr_Helv,0016-7312,2194-8798,2021-11-19 22:11:05.011 +1100,
163,Geochronology,Geochronology,,2628-3719,2021-11-19 22:11:05.011 +1100,
164,Geografický časopis,Geogr_Casopis,0016-7193,2453-8787,2021-11-19 22:11:05.011 +1100,
165,npj Climate and Atmospheric Science,npj_Clim_Atmos:Sci,,2397-3722,2021-11-19 22:11:05.011 +1100,
166,Science Bulletin,Sci_Bull_CHN,2095-9273,2095-9281,2021-11-19 22:11:05.011 +1100,
167,Science Advances,Science_Adv,,2375-2548,2021-11-19 22:11:05.011 +1100,
168,Norwegian Journal of Geology,Norw_J_Geol,2387-5852,2387-5844,2021-11-19 22:11:05.011 +1100,
169,Relief Boden Paläoklima,Relief_Boden_Pal,,0720-4876,2021-11-19 22:11:05.011 +1100,
170,Geological Society of America Special Papers,Geol_Soc_Am_S,0072-1077,2331-219X,2021-11-19 22:11:05.011 +1100,
171,Science in China Series D: Earth Sciences,Sci_China_Ser_D,1006-9313,1862-2801,2021-11-19 22:11:05.011 +1100,
172,"Transactions, Japanese Geomorphological Union",T_Japanese_Geomorph,,0389-1755,2021-11-19 22:11:05.011 +1100,
173,The Quaternary Research (Daiyonki-Kenkyu),Quaternary_Res_Japan,0418-2642,1881-8129,2021-11-19 22:11:05.011 +1100,
174,Marine Pollution Bulletin,Mar_Pollut_Bull,0025-326X,1879-3363,2021-11-19 22:11:05.011 +1100,
175,Quaternary,Quaternary,,2571-550X,2021-11-19 22:11:05.011 +1100,
176,"Proceedings of the Royal Society of London. Series A, Mathematical, Physical and Engineering Sciences",P_R_Soc_A,1364-5021,1471-2946,2021-11-19 22:11:05.011 +1100,2023-07-22 17:14:40.549 +1000
177,Pirineos. Revista de Ecología de Montaña,Pirineos,0373-2568,1988-4281,2021-11-19 22:11:05.011 +1100,
178,Australian Geographical Studies,Aust_Geogr_Stud,0004-9190,1467-8470,2021-11-19 22:11:05.011 +1100,
179,Current Anthropology,Curr_Anthropol,0011-3204,1537-5382,2021-11-19 22:11:05.011 +1100,
180,Sedimentology,Sedimentology,0037-0746,1365-3091,2021-11-19 22:11:05.011 +1100,
181,Archaeological Heritage,Archaeol_Heritage,,,2022-07-05 23:24:06.848 +1000,
182,Victorian Naturalist,Victorian_Nat,,,2022-07-05 23:24:06.848 +1000,
183,Ecology,Ecology,,1939-9170,2022-07-05 23:24:06.848 +1000,
184,Journal of Geophysical Research: Biogeosciences,J_Geophys_Res-BioGeo,,2169-8961,2022-07-05 23:24:06.848 +1000,
185,New Phytologist,New_Phytologist,0028-646X,1469-8137,2022-07-05 23:24:06.848 +1000,2023-01-03 22:28:32.703 +1100
186,Journal of Ecology,J_Ecol,,1365-2745,2022-07-05 23:24:06.848 +1000,
187,land,land,,2073-445X,2022-07-05 23:24:06.848 +1000,
188,Archaometry,Archaometry,,1475-4754,2022-07-05 23:24:06.848 +1000,
189,Economic Botany,Econ_Bot,0013-0001,1874-9364,2022-07-05 23:24:06.848 +1000,
190,Fieldiana. Anthropology,Fieldiana_Anthropol,0071-4739,2162-4321,2022-07-05 23:24:06.848 +1000,
191,Geographical Research,Geogr_Res,1745-5863,1745-5871,2022-07-05 23:24:06.848 +1000,
192,Hemisphere,Hemisphere,0018-0300,,2022-07-05 23:24:06.848 +1000,
193,HOMO - Journal of Comparative Biology,Homo,0018-442X,1618-1301,2022-07-05 23:24:06.848 +1000,
194,International Journal of Historical Archaeology,Int_J_Hist_Archaeol,1092-7697,1573-7748,2022-07-05 23:24:06.848 +1000,
195,Journal de la Société des Océanistes,J_Soc_Ocean,0300-953X,1760-7256,2022-07-05 23:24:06.848 +1000,
196,Journal of Field Archaeology,J_Field_Archaeol,0093-4690,2042-4582,2022-07-05 23:24:06.848 +1000,
197,Journal of Indo-Pacific Archaeology,J_Indo-Pac_Archaeol,,2375-0510,2022-07-05 23:24:06.848 +1000,
198,Journal of the Polynesian Society,J_Polynesian_Soc,0032-4000,2230-5955,2022-07-05 23:24:06.848 +1000,
199,Journal of the Royal Society of New Zealand,J_Roy_Soc_New_Zeal,0303-6758,1175-8899,2022-07-05 23:24:06.848 +1000,
200,Mountain Research and Development,Mt_Res_Dev,0276-4741,1994-7151,2022-07-05 23:24:06.848 +1000,
201,New Zealand Journal of Archaeology,New_Zeal_J_Archaeol,0110-540X,,2022-07-05 23:24:06.848 +1000,
202,Oral History,Oral_Hist,0310-2556,,2022-07-05 23:24:06.848 +1000,2022-10-07 02:10:05.421 +1100
203,PALEO. Revue d'archéologie préhistorique,Paleo_Rev,,2101-0420,2022-07-05 23:24:06.848 +1000,2022-07-05 22:01:55.253 +1000
204,People and Culture in Oceania,People_Culture_Oceania,1349-5380,2433-2194,2022-07-05 23:24:06.848 +1000,
205,Research in Melanesia,Res_Melanesia,0254-0665,,2022-07-05 23:24:06.848 +1000,
206,Technical Reports of the Australian Museum,Tech_Rep_Aust_Museum,1031-8062,,2022-07-05 23:24:06.848 +1000,
207,Technical Reports of the Australian Museum (Online),Tech_Rep_Aust_Museum_Online,,1835-4211,2022-07-05 23:24:06.848 +1000,
208,The Review of Archaeology,Rev_Archaeol,1050-4877,,2022-07-05 23:24:06.848 +1000,
209,Vegetation History and Archaeobotany,Veg_Hist_Archaeobot,0939-6314,1617-6278,2022-07-05 23:24:06.848 +1000,
210,Erdwissenschaftliche Forschung,Erdwissenschaft_Forsch,0170-3188,,2022-07-05 23:24:06.848 +1000,
211,Singapore Journal of Tropical Geography,Singapore_J_Trop_Geo,0129-7619,1467-9493,2022-07-05 23:24:06.848 +1000,
212,Records of the Papua New Guinea Public Museum and Art Gallery,Rec_PNG_Museum_Art,0314-3813,,2022-07-05 23:24:06.848 +1000,
213,National Geographic Research,Natl_Geogr_Res,8755-724X,,2022-07-05 23:24:06.848 +1000,
214,Man and Culture in Oceania,Man_Culture_Oceania,0911-3533,,2022-07-05 23:24:06.848 +1000,
215,Advances in World Archaeology,Adv_World_Archaeol,0733-5121,,2022-07-05 23:24:06.848 +1000,
216,"Agriculture, Ecosystems & Environment",Agr_Ecosyst_Environ,0167-8809,1873-2305,2022-07-05 23:24:06.848 +1000,
217,Anthropologie,Anthropologie,,,2022-07-05 23:24:06.848 +1000,
218,Archaeologies,Archaeologies,1555-8622,1935-3987,2022-07-05 23:24:06.848 +1000,
219,Australian Institute of Aboriginal Studies Newsletter,AIAS_News,0004-9344,,2022-07-05 23:24:06.848 +1000,
220,Fremantle Studies,Freemantle_Stud,,1443-0800,2022-07-05 23:24:06.848 +1000,
221,Geodinamica Acta,Geodin_Acta,0985-3111,1778-3593,2022-07-05 23:24:06.848 +1000,
222,Journal of Community Archaeology and Heritage,J_Comm_Archaeol_Heritage,2051-8196,2051-820X,2022-07-05 23:24:06.848 +1000,
223,Journal of the Anthropological Society of South Australia,J_Anthropol_Soc_S_Aust,1034-4438,,2022-07-05 23:24:06.848 +1000,
224,Nature Human Behaviour,Nat_Hum_Behavior,,2397-3374,2022-07-05 23:24:06.848 +1000,
225,Queensland Government Mining Journal,Queensland_Gov_Mining_J,0033-6149,,2022-07-05 23:24:06.848 +1000,
226,Reef Research,Reef_Res,1037-0692,,2022-07-05 23:24:06.848 +1000,
227,Rock Art Research,Rock_Art_Res,0813-0426,,2022-07-05 23:24:06.848 +1000,
228,Geographical Magazine,Geogr_Magazine,1478-6168,,2022-07-05 23:24:06.848 +1000,
229,Occasional Papers in Anthropology,Occas_Pap_Anthropol,,0310-4710,2022-07-05 23:24:06.848 +1000,
230,Journal of Social Archaeology,J_Social_Archaeol,1469-6053,1741-2951,2022-07-05 23:24:06.848 +1000,
231,Nature Ecology and Evolution,Nat_Ecol_Evol,,2397-334X,2022-07-05 23:24:06.848 +1000,
232,AGU Advances,AGU_Adv,,2576-604X,2022-07-05 23:24:06.848 +1000,
233,Mediterranean Geoscience Reviews,Med_Geosc_Rev,,2661-8648,2022-07-05 23:24:06.848 +1000,
234,Geosciences,Geosciences,,2076-3263,2022-07-05 23:24:06.848 +1000,
235,Terra Australis,Terra_Australis,0725-9018,,2022-07-05 23:24:06.848 +1000,
236,International Journal of Osteoarchaeology,Int_J_Osteoarchaeol,1047-482X,1099-1212,2022-07-05 23:24:06.848 +1000,
237,Cultural Resource Management Monograph Series,Cult_Res_Mon_Ser,0728-8441,,2022-07-05 23:24:06.848 +1000,
238,Modern Quaternary Research in Southeast Asia,Mod_Quat_Re,0168-6151,,2022-07-05 23:24:06.848 +1000,
239,Journal of Geographical Sciences,J_Geogr_Sci,1009-637X,1861-9568,2022-07-05 23:24:06.848 +1000,
240,Open Quaternary,Open_Quat,,2055-298X,2022-10-06 00:43:14.114 +1100,
241,The South African Archaeological Bulletin,S_Afr_Archaeol_Bull,0038-1969,2224-4654,2022-10-06 00:43:14.114 +1100,
242,Fort Hare Papers,Fort_Hare,0015-8054,,2022-10-06 00:43:14.114 +1100,
243,Journal of African Earth Sciences,J_Afr_Earth_Sci,1464-343X,1879-1956,2022-10-06 00:43:14.114 +1100,
244,South African Journal of Science,S_Afr_J_Sci,0038-2353,1996-7489,2022-10-06 00:43:14.114 +1100,
245,Journal of Paleolithic Archaeology,J_Paleolith_Archaeol,,2520-8217,2022-10-06 00:43:14.114 +1100,
246,Archeological Papers of the American Anthropological Association,Arch_P_Amer_Ant_Asso,1551-823X,1551-8248,2022-10-06 00:43:14.114 +1100,
247,PACT,PACT,,,2022-10-12 06:03:27.535 +1100,2022-10-12 06:03:27.535 +1100
248,Abhandlungen der Akademie der Wissenschaften zu Göttingen,TBA,,,2022-12-24 22:43:54.752 +1100,
