DATASRCID,DATASOURCE,DATASRCDSC,DATASRCREF,CREATED_AT,UPDATED_AT
-9999,ND,no data,,2023-09-07 16:15:31.827 +0200,2023-09-07 16:15:31.827 +0200
1,Author,Author provided data,,2023-09-07 16:14:39.264 +0200,
2,Digitised,Data digitised from diagram using XYZ software,,2023-09-07 16:14:39.264 +0200,
3,QUAVIDA,,Rowe et al. (2007). DOI: https://doi.org/10.1016/j.quaint.2007.04.001,2023-09-07 16:14:39.264 +0200,
4,Palaeofire database,TBA,TBA,2023-09-07 16:14:39.264 +0200,2023-09-07 16:15:10.406 +0200
5,Optical approximation,TBA,,2023-09-07 16:14:39.264 +0200,
6,Other,,,2023-09-07 16:14:39.264 +0200,
