FOSMAT2ID,FOSMAT2,FOSMAT2ABB,CREATED_AT,UPDATED_AT
-9999,no data,ND,2021-11-19 12:11:05.011 +0100,
-9991,not applicable,NA,2021-11-19 12:11:05.011 +0100,
1,Apatite,Apatite,2021-11-19 12:11:05.011 +0100,
2,Bone,Bone,2021-11-19 12:11:05.011 +0100,
3,Multiple bones,Bone_mult,2021-11-19 12:11:05.011 +0100,
4,Burnt bone,Bone_burnt,2021-11-19 12:11:05.011 +0100,
5,Calcite,Calcite,2021-11-19 12:11:05.011 +0100,
6,Carbonate,Carb,2021-11-19 12:11:05.011 +0100,
7,Charcoal,Charcoal,2021-11-19 12:11:05.011 +0100,
8,Cellulose,Cellulose,2021-11-19 12:11:05.011 +0100,
9,Collagen,Collagen,2021-11-19 12:11:05.011 +0100,
10,Dentine,Dentine,2021-11-19 12:11:05.011 +0100,
11,Dentine/Enamel,Dentine/Enamel,2021-11-19 12:11:05.011 +0100,
12,Eggshell,Eggshell,2021-11-19 12:11:05.011 +0100,
13,Enamel,Enamel,2021-11-19 12:11:05.011 +0100,
14,Flesh,Flesh,2021-11-19 12:11:05.011 +0100,
15,Gelatine extract,Gelatine_extr,2021-11-19 12:11:05.011 +0100,
16,Gelatine fraction,Gelatine_frac,2021-11-19 12:11:05.011 +0100,
17,Hair,Hair,2021-11-19 12:11:05.011 +0100,
18,Acid and alkali insoluble residue,Insoble,2021-11-19 12:11:05.011 +0100,
19,Acid insoluble fraction,Insoble_acid_frac,2021-11-19 12:11:05.011 +0100,
20,Acid insoluble residue,Insoble_acid_res,2021-11-19 12:11:05.011 +0100,
21,Molar,Molar,2021-11-19 12:11:05.011 +0100,
22,Organic band,Organic_layer,2021-11-19 12:11:05.011 +0100,
23,Organic carbon residue,Organic_carb,2021-11-19 12:11:05.011 +0100,
24,Organic fraction,Organic_frac,2021-11-19 12:11:05.011 +0100,
25,Organic material,Organic_mat,2021-11-19 12:11:05.011 +0100,
26,Otolith,Otolith,2021-11-19 12:11:05.011 +0100,
27,Peat,Peat,2021-11-19 12:11:05.011 +0100,
28,Carbonaceous pellet,Pellet_carb,2021-11-19 12:11:05.011 +0100,
29,"Leaf, seed and stem fragments",Plant,2021-11-19 12:11:05.011 +0100,
30,Quartz,Quartz,2021-11-19 12:11:05.011 +0100,
31,Celtis seed,Seed_celtis,2021-11-19 12:11:05.011 +0100,
32,Shell,Shell,2021-11-19 12:11:05.011 +0100,
33,Shell (Velesunio ambiguous),Shell_veles,2021-11-19 12:11:05.011 +0100,
34,Bulk soil organics,Soil,2021-11-19 12:11:05.011 +0100,
35,Marine shell,Shell_mare,2021-11-19 12:11:05.011 +0100,
36,Speleothem,Speleo,2021-11-19 12:11:05.011 +0100,
37,Straw stalactite,Stalactite,2021-11-19 12:11:05.011 +0100,
38,Tooth,Tooth,2021-11-19 12:11:05.011 +0100,
39,Tooth from breccia,Tooth_breccia,2021-11-19 12:11:05.011 +0100,
40,Wood,Wood,2021-11-19 12:11:05.011 +0100,
41,Burnt wood,Wood_burnt,2021-11-19 12:11:05.011 +0100,
42,Carbonised wood,Wood_carb,2021-11-19 12:11:05.011 +0100,
43,for other,Other,2021-11-19 12:11:05.011 +0100,
44,Charcoal (assumed),Charcoal?,2021-11-19 12:11:05.011 +0100,
45,Sediment,Sed,2021-11-19 12:11:05.011 +0100,
