UNITID,SITEID,UNITNAME,UNITHANDLE,UNITTYPEID,COLLECTID,DEPOSITID,COLLDATE,WATERDEPTH,NEO_HANDLE,UNIT_COMMT,COLL_SPEC,IS_CHAR,IS_IPPD,IS_NEOTOMA,UNIT_REF
1,PAL00151,Aguai Ramata_core1,AGUAI,5,-9999,111,,2.9,,,,TRUE,FALSE,FALSE,Haberle:2007terrestrial
2,PAL00152,Aire Crossing_core1,AIRECROSS,5,-9999,28,,0,,,,TRUE,FALSE,FALSE,McKenzie:2004aire
3,PAL00153,X77/50,AJAX,5,14,84,01.01.77,0,,,,TRUE,FALSE,FALSE,McGlone:2001origin
...,... *truncated* ...,,,,,,,,,,,,,,
