JOURNALID,JOURNAL,JOURNALABB,PRINT_ISSN,ONLIN_ISSN
91,Nature Communications,Nat_Commun,,2041-1723
92,New Zealand Journal of Geology and Geophysics,New_Zeal_J_Geol_Geop,0028-8306,1175-8791
93,Palaeoclimates: Data and Modelling,Palaeoclimates,,
94,Papers and Proceedings of the Royal Society of Tasmania,P_R_Soc_Tasmania,,0080-4703
95,Philosophical Transactions of the Royal Society B: Biological Sciences,Philos_T_R_Soc_B,0264-3839,2053-924X
96,PLoS ONE,Plos_One,,1932-6203
97,Proceedings of the Linnean Society of New South Wales,P_Linn_Soc_NSW,1839-7263,0370-047X
98,Proceedings of the National Academy of Sciences,P_Natl_Acad_Sci_USA,0027-8424,1091-6490
99,Proceedings of the Prehistoric Society,P_Prehist_Soc,0079-497X,2050-2729
100,Proceedings of the Royal Society of Victoria,P_R_Soc_Victoria,0035-9211,2204-1362
101,Quaternary Australasia,Quat_Aust,,0811-0433
102,Queensland Archaeological Research,Queensland_Archaeol_Res,0814-3021,1839-339X
103,Radiation Protection Dosimetry,Radiat_Prot_Dosim,0144-8420,1742-3406
104,Radiocarbon,Radiocarbon,0033-8222,1945-5755
105,Records of the Australian Museum,Rec_Aust_Mus,0067-1975,2201-4349
106,Records of the Queen Victoria Museum Launceston,Rec_Vic_Mus,0085-5278,
107,Records of the South Australian Museum,Rec_S_Aust_Mus,0376-2750,
108,Records of the Western Australian Museum,Rec_W_Aust_Mus,0312-3162,
109,Review of Palaeobotany and Palynology,Rev_Palaeobotany_Palyno,0034-6667,1879-0615
110,Search,Search,,0004-9549
111,Bulletin of the AMNH,B_Am_Mus_Nat_Hist,0003-0090,1937-3546
112,The Geographical Journal,Geogr_J,0016-7398,1475-4959
113,The Holocene,Holocene,0959-6836,1477-0911
114,Journal of Island and Coastal Archaeology,J_Isl_Coast_Archaeol,1556-4894,1556-1828
115,The Western Caver,West_Caver,,
116,Transactions of the Royal Society of South Australia,T_Roy_Soc_South_Aust,2204-0293,0372-1426
117,Geological Society of America Abstracts,Geol_Soc_Am_Bull_Abstr,,0435-3986
118,Archaeological and Anthropological Sciences,Archaeol_Anthrop_Sci,1866-9557,1866-9565
119,The Artefact: the Journal of the Archaeological and Anthropological Society of Victoria,Artefact,,
120,Asian Perspectives,Asian_Perspect,0066-8435,1535-8283
121,Beagle: Records of the Museums and Art Galleries of the Northern Territory,Beagle,,0811-3653
122,Journal of Archaeological Method and Theory,J_Archaeol_Method_Th,1072-5369,1573-7764
123,Journal of Archaeological Science: Reports,J_Archaeol_Sci_Rep,,2352-409X
124,Journal of the Australian Association of Consulting Archaeologists,J_Aust_Assoc_Archaeol,,2202-7890
125,Marine Geology,Mar_Geol,,0025-3227
126,Memoirs of the Queensland Museum / CULTURE,Mem_Qld_Museum_Culture,1440-4788,
127,Oceania,Oceania,,1834-4461
128,Papers and Proceedings of the Royal Society of Queensland,P_R_Soc_Queensland,,0080-469X
129,Studies in Conservation,Stud_Conserv,0039-3630,2047-0584
130,World Archaeology,World_Archaeol,0043-8243,1470-1375
131,Acta Geologica Sinica,Acta_Geol_Sin-Engl,,1755-6724
132,"Arctic, Antarctic, and Alpine Research",Arct_Antarct_Alp_Res,1523-0430,1938-4246
133,"Geografiska Annaler: Series A, Physical Geography",Geogr_Ann_A,0435-3676,1468-0459
134,Cuadernos de Investigación Geográfica,Cuadern_Inestig_Geogr,0211-6820,1697-9540
135,E&G Quaternary Science Journal,Quaternary_Sci_J,0424-7116,2199-9090
136,Antarctic Science,Antarct_Sci,0954-1020,1365-2079
137,Annals of Glaciology,Ann_Glaciol,0260-3055,1727-5644
138,Arktos,Arktos,2364-9453,2364-9461
139,Journal of Geophysical Research: Solid Earth,J_Geophys_Res-Solid,,2169-9356
140,"Zeitschrift für Geomorphologie, Supplement Issues",Z_Geomorphol_Supp,,0372-8854
141,Austrian Journal of Earth Sciences,Austrian_J_Earth_Sci,,2072-7151
