Field,Data type,Unit,Key,Not Null,Parent
ALSTNDID,int2 seq.,,pkey,TRUE,
ALSTND,text,,,TRUE,
ALSTND_PUB,text,,,,
ALCORR,"numeric(5, 4)",,,,
ALSTNDRTIO,numeric,,,,
ALSTNDCOMT,text,,,,
