GENUSID,GENUS,CREATED_AT,UPDATED_AT
198,Thylacoleo,19.11.21,
199,Thylogale,19.11.21,
200,Tiliqua,19.11.21,
201,Trichosurus,19.11.21,
202,Trichosurus/Wyulda,19.11.21,
203,Troposodon,19.11.21,
204,Turnix,19.11.21,
205,Tympanocryptis,19.11.21,
206,Tyto,19.11.21,
207,Uromys,19.11.21,
208,Uromys/Melomys,19.11.21,
209,Varanus,19.11.21,
210,Vombatus,19.11.21,
211,Wallabia,19.11.21,
212,Warendja,19.11.21,
213,Wonambi,19.11.21,
214,Xenuromys,19.11.21,
215,Zaglossus,19.11.21,
216,Zygomaturus,19.11.21,
217,Zyzomys,19.11.21,
