Field,Data type,Unit,Key,Not Null,Parent
METHODID,int2 seq.,,pkey,TRUE,
METHOD,text,,,TRUE,
METHODABBR,text,,ukey,TRUE,
PARENTID,int2,,fkey,TRUE,METHODID
METHODREF,text,,,,
