RIVID,AHGFL1,AHGFL2,RIVNAME,RIVDIV
-9999,NA,NA,NA,NA
1,CC,CC_01,Koolatong River,Carpentaria Coast
2,CC,CC_02,Walker River,Carpentaria Coast
3,CC,CC_03,Groote Eylandt,Carpentaria Coast
4,CC,CC_04,Roper River,Carpentaria Coast
5,CC,CC_05,Towns River,Carpentaria Coast
6,CC,CC_06,Limmen Bight River,Carpentaria Coast
7,CC,CC_07,Rosie River,Carpentaria Coast
8,CC,CC_08,Mcarthur River,Carpentaria Coast
9,CC,CC_09,Robinson River,Carpentaria Coast
10,CC,CC_10,Calvert River,Carpentaria Coast
11,CC,CC_11,Settlement Creek,Carpentaria Coast
12,CC,CC_12,Mornington Island,Carpentaria Coast
13,CC,CC_13,Nicholson-Leichhardt Rivers,Carpentaria Coast
14,CC,CC_14,Morning Inlet,Carpentaria Coast
15,CC,CC_15,Flinders-Norman Rivers,Carpentaria Coast
16,CC,CC_16,Mitchell-Coleman Rivers (QLD),Carpentaria Coast
17,CC,CC_17,Holroyd River,Carpentaria Coast
18,CC,CC_18,Archer-Watson Rivers,Carpentaria Coast
19,CC,CC_19,Ward River,Carpentaria Coast
20,CC,CC_20,Embley River,Carpentaria Coast
21,CC,CC_21,Wenlock River,Carpentaria Coast
22,CC,CC_22,Ducie River,Carpentaria Coast
23,CC,CC_23,Jardine River,Carpentaria Coast
24,CC,CC_24,Torres Strait Islands,Carpentaria Coast
25,LEB,LEB_01,Cooper Creek-Bulloo River,Lake Eyre Basin
26,LEB,LEB_02,Diamantina-Georgina Rivers,Lake Eyre Basin
27,LEB,LEB_03,Lake Eyre,Lake Eyre Basin
28,MDB,MDB_01,Upper Murray River,Murray-Darling Basin
29,MDB,MDB_02,Kiewa River,Murray-Darling Basin
30,MDB,MDB_03,Ovens River,Murray-Darling Basin
31,MDB,MDB_04,Broken River,Murray-Darling Basin
32,MDB,MDB_05,Goulburn River,Murray-Darling Basin
33,MDB,MDB_06,Campaspe River,Murray-Darling Basin
34,MDB,MDB_07,Loddon River,Murray-Darling Basin
35,MDB,MDB_08,Avoca River,Murray-Darling Basin
36,MDB,MDB_09,Avon River-Tyrell Lake,Murray-Darling Basin
37,MDB,MDB_10,Murray Riverina,Murray-Darling Basin
38,MDB,MDB_11,Billabong-Yanco Creeks,Murray-Darling Basin
39,MDB,MDB_12,Murrumbidgee River,Murray-Darling Basin
40,MDB,MDB_13,Lachlan River,Murray-Darling Basin
41,MDB,MDB_14,Benanee-Willandra Creek,Murray-Darling Basin
42,MDB,MDB_15,Wimmera River,Murray-Darling Basin
43,MDB,MDB_16,Upper Mallee,Murray-Darling Basin
44,MDB,MDB_17,Border Rivers,Murray-Darling Basin
45,MDB,MDB_18,Moonie River,Murray-Darling Basin
46,MDB,MDB_19,Gwydir River,Murray-Darling Basin
47,MDB,MDB_20,Namoi River,Murray-Darling Basin
48,MDB,MDB_21,Castlereagh River,Murray-Darling Basin
49,MDB,MDB_22,Macquarie-Bogan Rivers,Murray-Darling Basin
50,MDB,MDB_23,Condamine-Culgoa Rivers,Murray-Darling Basin
51,MDB,MDB_24,Warrego River,Murray-Darling Basin
52,MDB,MDB_25,Paroo River,Murray-Darling Basin
53,MDB,MDB_26,Darling River,Murray-Darling Basin
54,MDB,MDB_27,Lower Mallee,Murray-Darling Basin
55,MDB,MDB_28,Lower Murray River,Murray-Darling Basin
56,NEC,NEC_01,Jacky Jacky Creek,North East Coast
57,NEC,NEC_02,Olive-Pascoe Rivers,North East Coast
58,NEC,NEC_03,Lockhart River,North East Coast
59,NEC,NEC_04,Stewart River,North East Coast
60,NEC,NEC_05,Normanby River,North East Coast
61,NEC,NEC_06,Jeannie River,North East Coast
62,NEC,NEC_07,Endeavour River,North East Coast
63,NEC,NEC_08,Daintree River,North East Coast
