LAB_ORIGID,LAB_PREFIX,LAB_FACLTY,CNTRY,LAB_ACTIVE,LAB_MTD,LAB_URL,LAB_SOURCE
89,Hela,Helsinki AMS,FIN,,C14,,Radiocarbon
90,HIG,Hawaii Inst. of Geophys.,USA,FALSE,C14,,Radiocarbon
91,HL,Second Inst. of Oceanography,CHN,,C14,,Radiocarbon
92,HNS,"Hasleton-Nuclear, Palo Alto",USA,FALSE,C14,,Radiocarbon
93,Hv,Hannover,DEU,FALSE,C14,,Radiocarbon
94,I,Teledyne Isotopes,USA,FALSE,C14,,Radiocarbon
95,IAA,Inst. of Accelerator Analysis (beta counting),JPN,,C14,,Radiocarbon
96,IAAA,Inst. of Accelerator Analysis (AMS),JPN,,C14,,Radiocarbon
97,IAEA,International Atomic Energy Agency,AUT,FALSE,C14,,Radiocarbon
98,IAEA-MEL,Marine Environmental Lab.,MCO,,C14,,Radiocarbon
99,ICA,International Chemical Analysis,USA,,C14,,Radiocarbon
100,ICEN,Inst.o Tecnologico e Nuclear,PRT,FALSE,C14,,Radiocarbon
101,IEMAE,Inst. of Evolutionary Morphology & Animal Ecology,RUS,,C14,,Radiocarbon
102,IF AO,Inst. frangais d'archeologie orientale,EGY,,C14,,Radiocarbon
103,LAR,Liege State Univ.,BEL,FALSE,C14,,Radiocarbon
104,IGAN,Inst. of Geography,RUS,,C14,,Radiocarbon
105,IGS,Inst. of Geological Sci.,BLR,FALSE,C14,,Radiocarbon
106,IGSB,Inst. of Geological Sci.,BLR,,C14,,Radiocarbon
107,IHME,Marzeev Inst. of Hygiene Med. Ecol.,UKR,,C14,,Radiocarbon
108,II,"Isotopes, Inc., Palo Alto",USA,FALSE,C14,,Radiocarbon
109,IMTA,Inst. Mexicano de Tecnologia del Agua,MEX,,C14,,Radiocarbon
110,IOAN,Inst. of Oceanography,RUS,FALSE,C14,,Radiocarbon
111,IORAN,Inst. of Oceanology,RUS,FALSE,C14,,Radiocarbon
112,IRPA,Royal Inst. for Cultural Heritage,BEL,FALSE,C14,,Radiocarbon
113,ISGS,Illinois State Geological Survey,USA,,C14,,Radiocarbon
114,IUACD,Inter Univ. Accelerator Centre,IND,,C14,,Radiocarbon
115,IVAN,Inst. of Volcanology,UKR,FALSE,C14,,Radiocarbon
116,IVIC,Caracas,VEN,FALSE,C14,,Radiocarbon
117,IWP,Inst. of Water Problems,RUS,FALSE,C14,,Radiocarbon
118,JAT,Tono Geoscience Center (JAEA),JPN,,C14,,Radiocarbon
119,K,Copenhagen,DNK,FALSE,C14,,Radiocarbon
120,KATRI,Korea Apparel Testing,KOR,,C14,,Radiocarbon
121,KEEA,Kyushu Environ. Eval. Assoc. Property Research Inst.,JPN,,C14,,Radiocarbon
122,KGM,Korea Inst. of Geoscience & Mineral Resources (KIGAM),KOR,,C14,,Radiocarbon
123,Kl,Kiel,DEU,FALSE,C14,,Radiocarbon
124,KIA,Kiel AMS,DEU,,C14,,Radiocarbon
125,Ki (KIEV),Inst. of Radio-Geochemistry of the Environment,UKR,,C14,,Radiocarbon
126,KIK,Royal Inst. for Cultural Heritage,BEL,FALSE,C14,,Radiocarbon
127,KN,Koln,DEU,FALSE,C14,,Radiocarbon
128,KR,Krakow,POL,,C14,,Radiocarbon
129,KRIL,Krasnoyarsk Inst.,RUS,FALSE,C14,,Radiocarbon
130,KSU,Kyoto Sangyo Univ.,JPN,FALSE,C14,,Radiocarbon
131,L,Lamont-Doherty,USA,FALSE,C14,,Radiocarbon
132,LACUFF,Fluminense Federal Univ.,BRA,,C14,,Radiocarbon
133,LAEC,Lebanese Atomic Energy Commission (LAEC),LBN,,C14,,Radiocarbon
134,LE,St. Petersburg,RUS,,C14,,Radiocarbon
135,LEMA,Lab. de Espectrometria de Masas con Aceleradores,MEX,,C14,,Radiocarbon
136,LIH,NCSR Demokritos,GRC,,C14,,Radiocarbon
137,u,Scripps (UCSD) La Jolla,USA,FALSE,C14,,Radiocarbon
138,LTL,Univ. of Lecce,ITA,,C14,,Radiocarbon
139,Lu,Lund,SWE,FALSE,C14,,Radiocarbon
140,LuA,Lund,SWE,FALSE,C14,,Radiocarbon
141,LuS,Lund,SWE,,C14,,Radiocarbon
142,LU,St. Petersburg State Univ.,RUS,,C14,,Radiocarbon
143,Lv,Louvain-la-Neuve,BEL,FALSE,C14,,Radiocarbon
144,Ly,Univ. of Lyon,FRA,,C14,,Radiocarbon
145,LZU,Lanzhou Univ.,CHN,,C14,,Radiocarbon
146,M,Univ. of Michigan,USA,FALSE,C14,,Radiocarbon
147,Ma,Univ. of Winnepeg,CAN,FALSE,C14,,Radiocarbon
148,MAG,Quaternary Geology,RUS,,C14,,Radiocarbon
149,MAMS,Curt-Engelhorn-Zentrum Archaeom.,DEU,,C14,,Radiocarbon
150,MC,Centre Scientifique,MCO,FALSE,C14,,Radiocarbon
151,METU,Middle East Technical Univ.,TUR,FALSE,C14,,Radiocarbon
152,MKL,Lab. of Absolute Dating,POL,,C14,,Radiocarbon
153,MTC,Univ. of Tokyo,JPN,,C14,,Radiocarbon
154,N,Nishina Memorial,JPN,FALSE,C14,,Radiocarbon
155,NIST,National Inst. of Standards and Technology,USA,,C14,,Radiocarbon
156,NPL,"National Physical Lab., Middlesex",GBR,FALSE,C14,,Radiocarbon
157,NS,Nova Scotia Research Foundation,CAN,FALSE,C14,,Radiocarbon
158,NSRL,INSTAAR - Univ. of Colorado,USA,,C14,,Radiocarbon
159,NSTF,"Nuclear Science & Technology Facility, State Univ. of New York",USA,FALSE,C14,,Radiocarbon
160,NSW,Univ. of New South Wales,AUS,FALSE,C14,,Radiocarbon
161,NTU,National Taiwan Univ. Republic of China,CHN,,C14,,Radiocarbon
162,NU,Nihon Univ.,JPN,FALSE,C14,,Radiocarbon
163,NUTA,Tandetron AMS Lab,JPN,,C14,,Radiocarbon
164,Ny,"Nancy, Centre de Recherches Radiogeologiques",FRA,FALSE,C14,,Radiocarbon
165,NZ,Rafter Radiocarbon Lab,NZL,FALSE,C14,,Radiocarbon
166,NZA,Rafter (AMS),NZL,,C14,,Radiocarbon
167,O,Humble Oil & Refining,USA,FALSE,C14,,Radiocarbon
168,OBDY,ORSTOM Bondy,FRA,FALSE,C14,,Radiocarbon
169,OR,Research Center of Radioisotopes,JPN,,C14,,Radiocarbon
170,ORINS,Oak Ridge Inst. of Nuclear Studies,USA,FALSE,C14,,Radiocarbon
171,OS,"National Ocean Sciences, AMS Facility Woods Hole Oceanographic Inst.",USA,,C14,,Radiocarbon
172,OWU,Ohio Wesleyan Univ.,USA,FALSE,C14,,Radiocarbon
173,OX,"USDA (Oxford, Miss.)",USA,FALSE,C14,,Radiocarbon
174,OxA,Oxford Radiocarbon Accelerator Unit,GBR,,C14,,Radiocarbon
175,OZ,ANSTO-ANTARES,AUS,,C14,,Radiocarbon
176,LZ,Umweltforschungszentrum Leipzig-Halle UFZ,DEU,,C14,,Radiocarbon
177,Beta-,Beta Analytics,USA,,C14,,HM: Internet
178,P,Max-Planck-lnstitut Geochron. Lab,DEU,,"C14, Lead-210",,"Radiocarbon, modified"
179,p,Univ. of Pennsylvania,USA,FALSE,C14,,Radiocarbon
180,PAL,Palynosurvery Co.,JPN,,C14,,Radiocarbon
181,Pi,Pisa,ITA,FALSE,C14,,Radiocarbon
182,PI,Permafrost Inst.,RUS,FALSE,C14,,Radiocarbon
183,PIC,Packard,USA,FALSE,C14,,Radiocarbon
184,PITT,Univ. of Pittsburgh,USA,FALSE,C14,,Radiocarbon
185,Poz,Poznan,POL,,C14,,Radiocarbon
186,Pr,Prague,CZE,FALSE,C14,,Radiocarbon
187,PKU,Peking Univ.,CHN,,C14,,Radiocarbon
188,PKUAMS,Peking Univ. AMS lab,CHN,,C14,,Radiocarbon
189,PL,Purdue Rare Isotope Measurement Lab,USA,,C14,,Radiocarbon
190,PLD,"Paleo Labo. Co., Ltd.",JPN,,C14,,Radiocarbon
191,PRI,PaleoResearch Inst.,USA,,C14,,Radiocarbon
192,PRL,Radiocarbon Dating Research Unit,IND,,C14,,Radiocarbon
193,PRLCH,Physical Research Lab.,IND,FALSE,C14,,Radiocarbon
194,PSU,Penn State Univ.,USA,FALSE,C14,,Radiocarbon
195,PSUAMS,Penn State Univ.,USA,,C14,,Radiocarbon
196,Pta,Pretoria,ZAF,,C14,,Radiocarbon
197,Q,Cambridge,GBR,FALSE,C14,,Radiocarbon
198,QL,Quaternary Isotope Lab.,USA,FALSE,C14,,Radiocarbon
199,QC,Queens College,USA,FALSE,C14,,Radiocarbon
200,QU,"Centre de Recherches Canada Minerales, Quebec",CAN,FALSE,C14,,Radiocarbon
201,R,Rome,ITA,,C14,,Radiocarbon
202,RCD,Radiocarbon Dating,GBR,FALSE,C14,,Radiocarbon
203,RCMib,Milano Bicocca Univ.,ITA,,C14,,Radiocarbon
204,Rl,"Radiochemistry, Inc.",USA,FALSE,C14,,Radiocarbon
205,RICH,Royal Inst. for Cultural Heritage,BEL,,C14,,Radiocarbon
206,RIDDL,Simon Fraser Univ.,CAN,FALSE,C14,,Radiocarbon
207,Riga,Inst. of Science,LVA,FALSE,C14,,Radiocarbon
208,RL,"Radiocarbon, Ltd.",USA,FALSE,C14,,Radiocarbon
209,roams,National Inst. for Physics and Nuclear Engineering,ROU,,C14,,Radiocarbon
210,Rome,"Dept, of Earth Sciences, Rome",ITA,,C14,,Radiocarbon
211,RT,Rehovot,ISR,,C14,,Radiocarbon
212,RTK,Rehovot,ISR,,C14,,Radiocarbon
213,RU,Rice Univ.,USA,FALSE,C14,,Radiocarbon
214,S,Saskatchewan,CAN,FALSE,C14,,Radiocarbon
215,Sa,"Saclay, Gif-sur-Yvette",FRA,FALSE,C14,,Radiocarbon
216,Sac,Inst.o Tecnologico Portugal e Nuclear,PRT,,C14,,Radiocarbon
217,Sac A,Gif sur Yvette (Saclay),FRA,,C14,,Radiocarbon
218,SANU,ANU Canberra,AUS,,C14,,Radiocarbon
219,SPb,Herzen State Univ.,RUS,,C14,,Radiocarbon
220,SFU,Simon Fraser Univ.,CAN,FALSE,C14,,Radiocarbon
221,Sh,Shell Development Co.,USA,FALSE,C14,,Radiocarbon
222,SI,Smithsonian Inst.ion,USA,FALSE,C14,,Radiocarbon
223,SL,Sharp Laboratories,USA,FALSE,C14,,Radiocarbon
224,SM,"Mobil Oil Corp., Dallas",USA,FALSE,C14,,Radiocarbon
225,SMU,Southern Methodist Univ.,USA,FALSE,C14,,Radiocarbon
226,SNU,Seoul National Univ.,KOR,FALSE,C14,,Radiocarbon
227,T,Trondheim,NOR,,C14,,Radiocarbon
228,TB,Tbilisi,GEO,,C14,,Radiocarbon
229,TBNC,Kaman Instruments,USA,FALSE,C14,,Radiocarbon
230,TEM,Temple Univ.,USA,FALSE,C14,,Radiocarbon
231,TF,Tata Inst. of Fundamental Research,IND,FALSE,C14,,Radiocarbon
232,TK,Univ. of Tokyo,JPN,,C14,,Radiocarbon
233,TKA,"Univ. Museum, Univ. of Tokyo",JPN,,C14,,Radiocarbon
234,TKa,Univ. of Tokyo-AMS,JPN,,C14,,Radiocarbon
235,TKU,Turku,FIN,,C14,,Radiocarbon
236,Tin,Tallinn,EST,,C14,,Radiocarbon
237,TO,IsoTrace Lab.,CAN,,C14,,Radiocarbon
238,TUBITAK,TUBiTAK National AMS Lab.,TUR,,C14,,Radiocarbon
239,TRa,Trondheim (AMS),NOR,,C14,,Radiocarbon
240,TUa,Trondheim (AMS),NOR,,C14,,Radiocarbon
241,TUNC,Tehran Univ. Nuclear Centre,IRN,FALSE,C14,,Radiocarbon
242,Tx,Texas,USA,FALSE,C14,,Radiocarbon
243,u,Uppsala Univ.,SWE,FALSE,C14,,Radiocarbon
244,Ua,Uppsala AMS,SWE,,C14,,Radiocarbon
245,UB,Belfast,GBR,FALSE,C14,,Radiocarbon
246,UBA,Belfast,GBR,,C14,,Radiocarbon
247,UBAR,Univ. of Barcelona,ESP,,C14,,Radiocarbon
248,UCD,"Univ. College, Dublin",IRL,,C14,,Radiocarbon
249,UCI,"Univ. of California, Irvine",USA,,C14,,Radiocarbon
250,UCLA,"Univ. of California, Los Angeles",USA,FALSE,C14,,Radiocarbon
251,UCR,"Univ. of California, Riverside",USA,FALSE,C14,,Radiocarbon
252,UD,Udine,ITA,FALSE,C14,,Radiocarbon
253,UGa,Univ. of Georgia,USA,,C14,,Radiocarbon
254,UGRA,Univ. of Granada,ESP,,C14,,Radiocarbon
255,UL,Univ. of Laval,CAN,FALSE,C14,,Radiocarbon
256,ULA,Univ. of Laval,CAN,,C14,,Radiocarbon
257,UM,Univ. of Miami,USA,FALSE,C14,,Radiocarbon
258,UNAM,National Autonomous Univ. of Mexico,MEX,,C14,,Radiocarbon
259,UOC,Univ. of Ottawa,CAN,,C14,,Radiocarbon
260,UQ,Univ. of Quebec at Montreal,CAN,FALSE,C14,,Radiocarbon
261,URCRM,Ukrainian Research Ctr. for Radiation Medicine,UKR,FALSE,C14,,Radiocarbon
262,URU,Univ. of Uruguay,URY,,C14,,Radiocarbon
263,USGS,"USGS, Menlo Park",USA,FALSE,C14,,Radiocarbon
264,UtC,Utrecht van de Graaff,NLD,,,https://web.science.uu.nl/ams/,HM: Internet
265,UTCAG,Univ. of Tennessee,USA,,C14,,Radiocarbon
266,UW,Univ. of Washington,USA,FALSE,C14,,Radiocarbon
267,UZH,Univ. of Zurich,CHE,,C14,,Radiocarbon
