Field,Data type,Key,Not Null,Parent
ECOGROUPID,serial4,pkey,TRUE,
ECOLGROUP,text,,TRUE,
ECOGRPHNDL,varchar(4):p,ukey,TRUE,
ECOGRPSRC,int2,fkey,,:ref:`cabah_datasourceID_Fields`
