OAID,AUTH,FORENAME,INITIALS,ORCID,SCOPUSID,WSCC_RESID,AUTH_COMMT,CREATED_AT,UPDATED_AT,AUTH_URL,URL_DATE
OAID-000001,Abbühl,Luca A.,L. A.,,26427570600,,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:03:47.804 +0200,,
OAID-000002,Abrahami,Rachel,R.,0000-0002-1406-3876,56983056700,,,2021-11-19 12:11:05.011 +0100,2022-07-07 10:03:48.104 +0200,,
OAID-000003,Adams,Byron A.,B. A.,0000-0001-8219-3544,55181943900,I-4243-2015,,2021-11-19 12:11:05.011 +0100,,,
...,...,...,...,...,...,...,...,...,...,...,... *truncated* ...
