Field,Data type,Unit,Key,Not Null,Parent
GRNSIZEID,int2,,pkey,TRUE,
GRNSIZE,text,,,TRUE,
GRNSIZEABB,varchar(6),,,,
GRNSIZEMIN,"numeric(7,4)",mm,,,
GRNSIZEMAX,"numeric(7,4)",mm,,,
