Field,Data type,Unit,Key,Not Null,Parent
MATERIA2ID,int2,,pkey,TRUE,
MATERIAL2,text,,ukey,TRUE,
PARENTID,int2,,fkey,,MATERIA2ID
MAT2_DESCR,text,,,,
