Field,Data type,Unit,Key,Not Null,Parent
BESTNDID,int2 seq.,,pkey,TRUE,
BESTND,text,,,TRUE,
BESTND_PUB,text,,,,
BECORR,"numeric(5, 4)",,,,
BESTNDRTIO,numeric,,,,
BESTNDCOMT,text,,,,
